eta,X,Y,Z,x1_x,x1_y,x1_z,x2_x,x2_y,x2_z,x3_x,x3_y,x3_z,SC_X,SC_Y,SC_global_X,SC_global_Y,SC_global_Z,CG_X,CG_Y,CG_global_X,CG_global_Y,CG_global_Z,NA_X,NA_Y
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.676958939829471e-06,1.5949609128187512e-07,0.0,6.676958939829471e-06,1.5949609128187512e-07,-1.4888372542180485e-05,-2.6386503876071758e-08,0.0,1.4888372542180485e-05,-2.6386503876071758e-08,-3.251570792778987e-05,-5.59830073727641e-08
0.5,0.1525,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.676958939829471e-06,1.5949609128187512e-07,0.1525,6.676958939829471e-06,1.5949609128187512e-07,-1.4888372542180485e-05,-2.6386503876071758e-08,0.1525,1.4888372542180485e-05,-2.6386503876071758e-08,-3.251570792778987e-05,-5.59830073727641e-08
1.0,0.305,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.676958939829471e-06,1.5949609128187512e-07,0.305,6.676958939829471e-06,1.5949609128187512e-07,-1.4888372542180485e-05,-2.6386503876071758e-08,0.305,1.4888372542180485e-05,-2.6386503876071758e-08,-3.251570792778987e-05,-5.59830073727641e-08
