eta,X,Y,Z,x1_x,x1_y,x1_z,x2_x,x2_y,x2_z,x3_x,x3_y,x3_z,SC_X,SC_Y,SC_global_X,SC_global_Y,SC_global_Z,CG_X,CG_Y,CG_global_X,CG_global_Y,CG_global_Z,NA_X,NA_Y
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.810059240365692e-05,1.8187305026509707e-08,0.0,-1.810059240365692e-05,1.8187305026509707e-08,-1.6222326618474744e-05,-2.8684089322069838e-08,0.0,1.6222326618474744e-05,-2.8684089322069838e-08,-2.1552599376659756e-06,-9.338658025970381e-09
0.125,0.038125,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.810059240365692e-05,1.8187305026509707e-08,0.038125,-1.810059240365692e-05,1.8187305026509707e-08,-1.6222326618474744e-05,-2.8684089322069838e-08,0.038125,1.6222326618474744e-05,-2.8684089322069838e-08,-2.1552599376659756e-06,-9.338658025970381e-09
0.25,0.07625,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.810059240365692e-05,1.8187305026509707e-08,0.07625,-1.810059240365692e-05,1.8187305026509707e-08,-1.6222326618474744e-05,-2.8684089322069838e-08,0.07625,1.6222326618474744e-05,-2.8684089322069838e-08,-2.1552599376659756e-06,-9.338658025970381e-09
0.375,0.11437500000000002,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.810059240365692e-05,1.8187305026509707e-08,0.11437500000000002,-1.810059240365692e-05,1.8187305026509707e-08,-1.6222326618474744e-05,-2.8684089322069838e-08,0.11437500000000002,1.6222326618474744e-05,-2.8684089322069838e-08,-2.1552599376659756e-06,-9.338658025970381e-09
0.5,0.15250000000000002,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.810059240365692e-05,1.8187305026509707e-08,0.15250000000000002,-1.810059240365692e-05,1.8187305026509707e-08,-1.6222326618474744e-05,-2.8684089322069838e-08,0.15250000000000002,1.6222326618474744e-05,-2.8684089322069838e-08,-2.1552599376659756e-06,-9.338658025970381e-09
0.625,0.19062499999999993,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.810059240365692e-05,1.8187305026509707e-08,0.19062499999999993,-1.810059240365692e-05,1.8187305026509707e-08,-1.6222326618474744e-05,-2.8684089322069838e-08,0.19062499999999993,1.6222326618474744e-05,-2.8684089322069838e-08,-2.1552599376659756e-06,-9.338658025970381e-09
0.75,0.22874999999999998,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.810059240365692e-05,1.8187305026509707e-08,0.22874999999999998,-1.810059240365692e-05,1.8187305026509707e-08,-1.6222326618474744e-05,-2.8684089322069838e-08,0.22874999999999998,1.6222326618474744e-05,-2.8684089322069838e-08,-2.1552599376659756e-06,-9.338658025970381e-09
0.875,0.266875,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.810059240365692e-05,1.8187305026509707e-08,0.266875,-1.810059240365692e-05,1.8187305026509707e-08,-1.6222326618474744e-05,-2.8684089322069838e-08,0.266875,1.6222326618474744e-05,-2.8684089322069838e-08,-2.1552599376659756e-06,-9.338658025970381e-09
1.0,0.305,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.810059240365692e-05,1.8187305026509707e-08,0.305,-1.810059240365692e-05,1.8187305026509707e-08,-1.6222326618474744e-05,-2.8684089322069838e-08,0.305,1.6222326618474744e-05,-2.8684089322069838e-08,-2.1552599376659756e-06,-9.338658025970381e-09
