 
section in r/R,0.0
21575442469.33247,0.0,0.0,0.0,-443.41945407528135,-271585135.23394483
0.0,7461618229.011153,25584.526089650677,-1439.485504206188,0.0,0.0
0.0,25584.526102118507,3242830342.6163383,216899490.48304564,0.0,0.0
0.0,-1439.4855098045084,216899490.48304498,56069942.89652108,0.0,0.0
-443.4194503545968,0.0,0.0,0.0,27946687.51934741,-512.9538059713548
-271585135.2339366,0.0,0.0,0.0,-512.9538059259548,1193935588.8216155
 
section in r/R,0.5
21575442469.33247,0.0,0.0,0.0,-443.41945407528135,-271585135.23394483
0.0,7461618229.011153,25584.526089650677,-1439.485504206188,0.0,0.0
0.0,25584.526102118507,3242830342.6163383,216899490.48304564,0.0,0.0
0.0,-1439.4855098045084,216899490.48304498,56069942.89652108,0.0,0.0
-443.4194503545968,0.0,0.0,0.0,27946687.51934741,-512.9538059713548
-271585135.2339366,0.0,0.0,0.0,-512.9538059259548,1193935588.8216155
 
section in r/R,1.0
21575442469.33247,0.0,0.0,0.0,-443.41945407528135,-271585135.23394483
0.0,7461618229.011153,25584.526089650677,-1439.485504206188,0.0,0.0
0.0,25584.526102118507,3242830342.6163383,216899490.48304564,0.0,0.0
0.0,-1439.4855098045084,216899490.48304498,56069942.89652108,0.0,0.0
-443.4194503545968,0.0,0.0,0.0,27946687.51934741,-512.9538059713548
-271585135.2339366,0.0,0.0,0.0,-512.9538059259548,1193935588.8216155
