Coordinate system:,Beamdyn coordinates
section in r/R,Mass per unit length [kg/m]
0.0,140.99923407016036
0.059,127.92582295346051
0.118,115.45113091013388
0.177,114.8781127176771
0.236,0.0
0.294,0.0
0.353,0.0
0.412,0.0
0.47,0.0
0.529,0.0
0.588,0.0
0.647,0.0
0.706,0.0
0.765,0.0
0.823,0.0
0.882,0.0
0.941,0.0
1.0,0.0
