 
section in r/R,0.0
476596175.085704,-65728695.72006753,0.0,0.0,0.0,40706684.60343329
-65728695.72013577,1350209750.0464084,0.0,0.0,0.0,52185353.2378339
0.0,0.0,3796133224.9659104,-303134496.1532538,-151849178.1174658,0.0
0.0,0.0,-303134496.1532522,66602969.43181106,14794048.615848543,0.0
0.0,0.0,-151849178.11746654,14794048.615848556,6993587.459598561,0.0
40706684.6034324,52185353.23783806,0.0,0.0,0.0,7080108.925195839
 
section in r/R,0.059
431991410.4727863,-62921766.75546032,0.0,0.0,0.0,34922174.48568246
-62921766.75572679,1224354558.6648548,0.0,0.0,0.0,46362142.52284381
0.0,0.0,3444156771.8240213,-261630634.01584902,-135460071.67316538,0.0
0.0,0.0,-261630634.01585057,54796464.88133128,12631789.365375562,0.0
0.0,0.0,-135460071.67316616,12631789.365375321,6103118.26119899,0.0
34922174.4856738,46362142.522876196,0.0,0.0,0.0,5916116.502976178
 
section in r/R,0.118
389876873.1918636,-56988556.47406649,0.0,0.0,0.0,29911177.98145317
-56988556.47418064,1104957079.1518316,0.0,0.0,0.0,39905455.01949491
0.0,0.0,3108299678.349765,-224258051.56262836,-116601183.35967626,0.0
0.0,0.0,-224258051.56262887,44606635.06281003,10327647.585071696,0.0
0.0,0.0,-116601183.35967559,10327647.585071739,5006953.396522685,0.0
29911177.981450353,39905455.019505255,0.0,0.0,0.0,4827832.976210403
 
section in r/R,0.177
385896658.51920307,-56555234.32006365,0.0,0.0,0.0,29612181.736083284
-56555234.320112616,1099530196.9090822,0.0,0.0,0.0,39503022.40116175
0.0,0.0,3092872265.4759192,-223145342.15806577,-115446705.85400999,0.0
0.0,0.0,-223145342.15806612,44385193.89629183,10225366.659661917,0.0
0.0,0.0,-115446705.85401022,10225366.659661856,4932818.468797455,0.0
29612181.73608222,39503022.40116376,0.0,0.0,0.0,4768323.2396094985
 
section in r/R,0.236
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
 
section in r/R,0.294
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
 
section in r/R,0.353
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
