 
section in r/R,0.0
11181563987.336475,0.0,0.0,0.0,496787275.2958321,4417333337.2520685
0.0,3929808295.1493087,-181156625.61883873,-180654148.80300203,0.0,0.0
0.0,-181156625.61898586,406407105.0251859,-134889631.9118948,0.0,0.0
0.0,-180654148.8029256,-134889631.91189536,66667653.25009439,0.0,0.0
496787275.2958181,0.0,0.0,0.0,28333376.227535333,205826221.524909
4417333337.252219,0.0,0.0,0.0,205826221.52493662,2283923720.348888
 
section in r/R,0.5
11181563987.336475,0.0,0.0,0.0,496787275.2958321,4417333337.2520685
0.0,3929808295.1493087,-181156625.61883873,-180654148.80300203,0.0,0.0
0.0,-181156625.61898586,406407105.0251859,-134889631.9118948,0.0,0.0
0.0,-180654148.8029256,-134889631.91189536,66667653.25009439,0.0,0.0
496787275.2958181,0.0,0.0,0.0,28333376.227535333,205826221.524909
4417333337.252219,0.0,0.0,0.0,205826221.52493662,2283923720.348888
 
section in r/R,1.0
11181563987.336475,0.0,0.0,0.0,496787275.2958321,4417333337.2520685
0.0,3929808295.1493087,-181156625.61883873,-180654148.80300203,0.0,0.0
0.0,-181156625.61898586,406407105.0251859,-134889631.9118948,0.0,0.0
0.0,-180654148.8029256,-134889631.91189536,66667653.25009439,0.0,0.0
496787275.2958181,0.0,0.0,0.0,28333376.227535333,205826221.524909
4417333337.252219,0.0,0.0,0.0,205826221.52493662,2283923720.348888
