eta,X,Y,Z,x1_x,x1_y,x1_z,x2_x,x2_y,x2_z,x3_x,x3_y,x3_z,SC_X,SC_Y,CG_X,CG_Y,NA_X,NA_Y
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3597920749989373,0.0625559438453141,-0.3950550515343809,0.044429140311542194,-0.39505505153437015,0.04442914031153975
0.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3597920749989373,0.0625559438453141,-0.3950550515343809,0.044429140311542194,-0.39505505153437015,0.04442914031153975
1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3597920749989373,0.0625559438453141,-0.3950550515343809,0.044429140311542194,-0.39505505153437015,0.04442914031153975
