omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,5.662194180414e-01
1.000000000000e+00,mode_1,mode_2,2.638610267841e-01
1.000000000000e+00,mode_2,mode_1,2.830444603709e-01
1.000000000000e+00,mode_2,mode_2,4.642364405817e-01
3.016949152542e+00,mode_1,mode_1,5.650861314500e-01
3.016949152542e+00,mode_1,mode_2,2.768774010054e-01
3.016949152542e+00,mode_2,mode_1,2.842049773706e-01
3.016949152542e+00,mode_2,mode_2,4.589979566530e-01
5.033898305085e+00,mode_1,mode_1,5.622265449909e-01
5.033898305085e+00,mode_1,mode_2,2.836111454556e-01
5.033898305085e+00,mode_2,mode_1,2.842856410930e-01
5.033898305085e+00,mode_2,mode_2,4.546675867512e-01
7.050847457627e+00,mode_1,mode_1,5.588184145102e-01
7.050847457627e+00,mode_1,mode_2,2.798019526400e-01
7.050847457627e+00,mode_2,mode_1,2.821581801624e-01
7.050847457627e+00,mode_2,mode_2,4.525124603340e-01
9.067796610169e+00,mode_1,mode_1,5.596745581058e-01
9.067796610169e+00,mode_1,mode_2,2.771431038059e-01
9.067796610169e+00,mode_2,mode_1,2.819866955816e-01
9.067796610169e+00,mode_2,mode_2,4.537833516680e-01
1.108474576271e+01,mode_1,mode_1,5.605745187551e-01
1.108474576271e+01,mode_1,mode_2,2.771262902499e-01
1.108474576271e+01,mode_2,mode_1,2.824414629287e-01
1.108474576271e+01,mode_2,mode_2,4.547933138513e-01
1.310169491525e+01,mode_1,mode_1,5.609571285298e-01
1.310169491525e+01,mode_1,mode_2,2.767701248561e-01
1.310169491525e+01,mode_2,mode_1,2.825513701460e-01
1.310169491525e+01,mode_2,mode_2,4.552963557577e-01
1.511864406780e+01,mode_1,mode_1,5.611100155917e-01
1.511864406780e+01,mode_1,mode_2,2.770590159724e-01
1.511864406780e+01,mode_2,mode_1,2.826701324457e-01
1.511864406780e+01,mode_2,mode_2,4.553808149709e-01
1.713559322034e+01,mode_1,mode_1,5.611970772131e-01
1.713559322034e+01,mode_1,mode_2,2.770238706689e-01
1.713559322034e+01,mode_2,mode_1,2.826586098171e-01
1.713559322034e+01,mode_2,mode_2,4.554226718306e-01
1.915254237288e+01,mode_1,mode_1,5.612929716076e-01
1.915254237288e+01,mode_1,mode_2,2.769130335259e-01
1.915254237288e+01,mode_2,mode_1,2.826702620991e-01
1.915254237288e+01,mode_2,mode_2,4.556097095505e-01
2.116949152542e+01,mode_1,mode_1,5.613044539991e-01
2.116949152542e+01,mode_1,mode_2,2.768539138211e-01
2.116949152542e+01,mode_2,mode_1,2.828364882722e-01
2.116949152542e+01,mode_2,mode_2,4.556369119486e-01
2.318644067797e+01,mode_1,mode_1,5.614345196485e-01
2.318644067797e+01,mode_1,mode_2,2.767881280418e-01
2.318644067797e+01,mode_2,mode_1,2.826684636078e-01
2.318644067797e+01,mode_2,mode_2,4.557777279516e-01
2.520338983051e+01,mode_1,mode_1,5.615293768487e-01
2.520338983051e+01,mode_1,mode_2,2.767313052853e-01
2.520338983051e+01,mode_2,mode_1,2.825571393358e-01
2.520338983051e+01,mode_2,mode_2,4.556405548991e-01
2.722033898305e+01,mode_1,mode_1,5.615545946372e-01
2.722033898305e+01,mode_1,mode_2,2.766506839574e-01
2.722033898305e+01,mode_2,mode_1,2.825660403917e-01
2.722033898305e+01,mode_2,mode_2,4.556719996052e-01
2.923728813559e+01,mode_1,mode_1,5.615571350093e-01
2.923728813559e+01,mode_1,mode_2,2.767001269379e-01
2.923728813559e+01,mode_2,mode_1,2.826056223375e-01
2.923728813559e+01,mode_2,mode_2,4.558800388965e-01
3.125423728814e+01,mode_1,mode_1,5.614743256278e-01
3.125423728814e+01,mode_1,mode_2,2.767728315926e-01
3.125423728814e+01,mode_2,mode_1,2.828943752115e-01
3.125423728814e+01,mode_2,mode_2,4.559534423752e-01
