omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,5.374617136152e-01
1.000000000000e+00,mode_1,mode_2,2.369895803028e-01
1.000000000000e+00,mode_2,mode_1,2.546362629226e-01
1.000000000000e+00,mode_2,mode_2,4.296647426416e-01
3.016949152542e+00,mode_1,mode_1,5.365694335359e-01
3.016949152542e+00,mode_1,mode_2,2.488728290028e-01
3.016949152542e+00,mode_2,mode_1,2.557154265750e-01
3.016949152542e+00,mode_2,mode_2,4.249635795484e-01
5.033898305085e+00,mode_1,mode_1,5.338907056000e-01
5.033898305085e+00,mode_1,mode_2,2.554533424592e-01
5.033898305085e+00,mode_2,mode_1,2.559116354894e-01
5.033898305085e+00,mode_2,mode_2,4.209163401330e-01
7.050847457627e+00,mode_1,mode_1,5.303393202203e-01
7.050847457627e+00,mode_1,mode_2,2.520639119691e-01
7.050847457627e+00,mode_2,mode_1,2.537360529920e-01
7.050847457627e+00,mode_2,mode_2,4.184063755114e-01
9.067796610169e+00,mode_1,mode_1,5.306661366796e-01
9.067796610169e+00,mode_1,mode_2,2.494180541195e-01
9.067796610169e+00,mode_2,mode_1,2.534974537211e-01
9.067796610169e+00,mode_2,mode_2,4.195079223824e-01
1.108474576271e+01,mode_1,mode_1,5.317769922028e-01
1.108474576271e+01,mode_1,mode_2,2.492867850558e-01
1.108474576271e+01,mode_2,mode_1,2.539019946945e-01
1.108474576271e+01,mode_2,mode_2,4.205249460214e-01
1.310169491525e+01,mode_1,mode_1,5.324025289602e-01
1.310169491525e+01,mode_1,mode_2,2.489572641568e-01
1.310169491525e+01,mode_2,mode_1,2.540778298659e-01
1.310169491525e+01,mode_2,mode_2,4.210764680440e-01
1.511864406780e+01,mode_1,mode_1,5.324099591244e-01
1.511864406780e+01,mode_1,mode_2,2.492141888201e-01
1.511864406780e+01,mode_2,mode_1,2.541557756138e-01
1.511864406780e+01,mode_2,mode_2,4.211025699711e-01
1.713559322034e+01,mode_1,mode_1,5.326193368215e-01
1.713559322034e+01,mode_1,mode_2,2.492228792664e-01
1.713559322034e+01,mode_2,mode_1,2.542371011938e-01
1.713559322034e+01,mode_2,mode_2,4.212265379751e-01
1.915254237288e+01,mode_1,mode_1,5.325710532342e-01
1.915254237288e+01,mode_1,mode_2,2.491382375937e-01
1.915254237288e+01,mode_2,mode_1,2.542831896643e-01
1.915254237288e+01,mode_2,mode_2,4.212743059392e-01
2.116949152542e+01,mode_1,mode_1,5.326887333330e-01
2.116949152542e+01,mode_1,mode_2,2.490789738550e-01
2.116949152542e+01,mode_2,mode_1,2.541897305421e-01
2.116949152542e+01,mode_2,mode_2,4.214860100467e-01
2.318644067797e+01,mode_1,mode_1,5.325845370424e-01
2.318644067797e+01,mode_1,mode_2,2.490590519233e-01
2.318644067797e+01,mode_2,mode_1,2.543478673641e-01
2.318644067797e+01,mode_2,mode_2,4.213603737041e-01
2.520338983051e+01,mode_1,mode_1,5.327776814697e-01
2.520338983051e+01,mode_1,mode_2,2.490195563935e-01
2.520338983051e+01,mode_2,mode_1,2.543857267877e-01
2.520338983051e+01,mode_2,mode_2,4.214722656609e-01
2.722033898305e+01,mode_1,mode_1,5.327824362122e-01
2.722033898305e+01,mode_1,mode_2,2.489916205188e-01
2.722033898305e+01,mode_2,mode_1,2.544275496815e-01
2.722033898305e+01,mode_2,mode_2,4.214890213007e-01
2.923728813559e+01,mode_1,mode_1,5.326183471596e-01
2.923728813559e+01,mode_1,mode_2,2.489643095574e-01
2.923728813559e+01,mode_2,mode_1,2.544024864188e-01
2.923728813559e+01,mode_2,mode_2,4.214425135378e-01
3.125423728814e+01,mode_1,mode_1,5.328007940933e-01
3.125423728814e+01,mode_1,mode_2,2.488826708367e-01
3.125423728814e+01,mode_2,mode_1,2.541285123718e-01
3.125423728814e+01,mode_2,mode_2,4.215384855841e-01
3.327118644068e+01,mode_1,mode_1,5.329248565506e-01
3.327118644068e+01,mode_1,mode_2,2.490503792714e-01
3.327118644068e+01,mode_2,mode_1,2.543556185033e-01
3.327118644068e+01,mode_2,mode_2,4.217188587200e-01
3.528813559322e+01,mode_1,mode_1,5.325959388937e-01
3.528813559322e+01,mode_1,mode_2,2.488904496788e-01
3.528813559322e+01,mode_2,mode_1,2.543169976710e-01
3.528813559322e+01,mode_2,mode_2,4.213348637697e-01
3.730508474576e+01,mode_1,mode_1,5.329667811229e-01
3.730508474576e+01,mode_1,mode_2,2.490208422214e-01
3.730508474576e+01,mode_2,mode_1,2.543832269675e-01
3.730508474576e+01,mode_2,mode_2,4.218176061667e-01
3.932203389831e+01,mode_1,mode_1,5.329247795502e-01
3.932203389831e+01,mode_1,mode_2,2.488273724995e-01
3.932203389831e+01,mode_2,mode_1,2.539947522215e-01
3.932203389831e+01,mode_2,mode_2,4.215418517811e-01
4.133898305085e+01,mode_1,mode_1,5.325240855714e-01
4.133898305085e+01,mode_1,mode_2,2.489736141840e-01
4.133898305085e+01,mode_2,mode_1,2.546045817883e-01
4.133898305085e+01,mode_2,mode_2,4.213537052923e-01
4.335593220339e+01,mode_1,mode_1,5.328082933866e-01
4.335593220339e+01,mode_1,mode_2,2.490774451760e-01
4.335593220339e+01,mode_2,mode_1,2.545976808212e-01
4.335593220339e+01,mode_2,mode_2,4.218256504353e-01
4.537288135593e+01,mode_1,mode_1,5.332860965608e-01
4.537288135593e+01,mode_1,mode_2,2.489065200310e-01
4.537288135593e+01,mode_2,mode_1,2.540976839175e-01
4.537288135593e+01,mode_2,mode_2,4.220280252542e-01
4.738983050847e+01,mode_1,mode_1,5.332274851161e-01
4.738983050847e+01,mode_1,mode_2,2.488392916073e-01
4.738983050847e+01,mode_2,mode_1,2.538380792297e-01
4.738983050847e+01,mode_2,mode_2,4.218486438896e-01
4.940677966102e+01,mode_1,mode_1,5.331647300559e-01
4.940677966102e+01,mode_1,mode_2,2.487924579721e-01
4.940677966102e+01,mode_2,mode_1,2.538183912756e-01
4.940677966102e+01,mode_2,mode_2,4.216778804017e-01
5.142372881356e+01,mode_1,mode_1,5.330655313939e-01
5.142372881356e+01,mode_1,mode_2,2.487136839488e-01
5.142372881356e+01,mode_2,mode_1,2.537715902501e-01
5.142372881356e+01,mode_2,mode_2,4.215013020699e-01
5.344067796610e+01,mode_1,mode_1,5.330609854947e-01
5.344067796610e+01,mode_1,mode_2,2.486814316661e-01
