omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,1.212749212241e-03
1.000000000000e+00,mode_1,mode_2,-7.877833634391e-03
1.000000000000e+00,mode_2,mode_1,-4.967969685470e-04
1.000000000000e+00,mode_2,mode_2,3.647261920626e-03
3.016949152542e+00,mode_1,mode_1,6.815736799130e-03
3.016949152542e+00,mode_1,mode_2,-2.322406097729e-02
3.016949152542e+00,mode_2,mode_1,-8.387756346828e-04
3.016949152542e+00,mode_2,mode_2,1.296910619149e-02
5.033898305085e+00,mode_1,mode_1,2.574816985770e-02
5.033898305085e+00,mode_1,mode_2,-2.276552231831e-02
5.033898305085e+00,mode_2,mode_1,5.664244516745e-03
5.033898305085e+00,mode_2,mode_2,2.883762692556e-02
7.050847457627e+00,mode_1,mode_1,3.478857814603e-02
7.050847457627e+00,mode_1,mode_2,1.049187491446e-02
7.050847457627e+00,mode_2,mode_1,1.700715385293e-02
7.050847457627e+00,mode_2,mode_2,3.033994795931e-02
9.067796610169e+00,mode_1,mode_1,1.230775808736e-02
9.067796610169e+00,mode_1,mode_2,1.072369591260e-02
9.067796610169e+00,mode_2,mode_1,8.147706252454e-03
9.067796610169e+00,mode_2,mode_2,1.085180894185e-02
1.108474576271e+01,mode_1,mode_1,1.135093621861e-03
1.108474576271e+01,mode_1,mode_2,1.085538659180e-03
1.108474576271e+01,mode_2,mode_1,8.443217618811e-04
1.108474576271e+01,mode_2,mode_2,1.051909338955e-03
1.310169491525e+01,mode_1,mode_1,-1.228436747099e-06
1.310169491525e+01,mode_1,mode_2,1.621566014825e-05
1.310169491525e+01,mode_2,mode_1,3.814544512018e-06
1.310169491525e+01,mode_2,mode_2,4.118847509378e-06
1.511864406780e+01,mode_1,mode_1,-3.368305549701e-06
1.511864406780e+01,mode_1,mode_2,-3.022448051227e-06
1.511864406780e+01,mode_2,mode_1,-2.975944041584e-06
1.511864406780e+01,mode_2,mode_2,-3.391315537660e-06
1.713559322034e+01,mode_1,mode_1,-1.696690281216e-08
1.713559322034e+01,mode_1,mode_2,3.386629613343e-08
1.713559322034e+01,mode_2,mode_1,2.076174105176e-08
1.713559322034e+01,mode_2,mode_2,1.658514482676e-08
1.915254237288e+01,mode_1,mode_1,1.197860857569e-10
1.915254237288e+01,mode_1,mode_2,-1.144556689973e-10
1.915254237288e+01,mode_2,mode_1,6.407353828373e-10
1.915254237288e+01,mode_2,mode_2,-1.197907024877e-10
2.116949152542e+01,mode_1,mode_1,-3.517572588073e-11
2.116949152542e+01,mode_1,mode_2,-1.998587235805e-11
2.116949152542e+01,mode_2,mode_1,-2.655597410959e-11
2.116949152542e+01,mode_2,mode_2,-1.061246019442e-11
2.318644067797e+01,mode_1,mode_1,4.952403346313e-14
2.318644067797e+01,mode_1,mode_2,-8.961709231869e-14
2.318644067797e+01,mode_2,mode_1,9.514245003899e-14
2.318644067797e+01,mode_2,mode_2,-1.031336697265e-13
2.520338983051e+01,mode_1,mode_1,0.000000000000e+00
2.520338983051e+01,mode_1,mode_2,0.000000000000e+00
2.520338983051e+01,mode_2,mode_1,0.000000000000e+00
2.520338983051e+01,mode_2,mode_2,0.000000000000e+00
2.722033898305e+01,mode_1,mode_1,4.202902178033e-108
2.722033898305e+01,mode_1,mode_2,-5.663954652910e-106
