omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,3.523635776203e-01
1.000000000000e+00,mode_1,mode_2,6.416879254839e-02
1.000000000000e+00,mode_2,mode_1,7.174039384679e-02
1.000000000000e+00,mode_2,mode_2,2.069667688843e-01
3.016949152542e+00,mode_1,mode_1,3.525596738070e-01
3.016949152542e+00,mode_1,mode_2,6.890331171769e-02
3.016949152542e+00,mode_2,mode_1,7.236629514633e-02
3.016949152542e+00,mode_2,mode_2,2.055758229868e-01
5.033898305085e+00,mode_1,mode_1,3.519122862392e-01
5.033898305085e+00,mode_1,mode_2,7.311079756310e-02
5.033898305085e+00,mode_2,mode_1,7.318085673674e-02
5.033898305085e+00,mode_2,mode_2,2.042356831823e-01
7.050847457627e+00,mode_1,mode_1,3.476660082838e-01
7.050847457627e+00,mode_1,mode_2,7.337898695169e-02
7.050847457627e+00,mode_2,mode_1,7.167419063524e-02
7.050847457627e+00,mode_2,mode_2,2.005171206512e-01
9.067796610169e+00,mode_1,mode_1,3.453331348260e-01
9.067796610169e+00,mode_1,mode_2,6.945227084293e-02
9.067796610169e+00,mode_2,mode_1,6.969108045915e-02
9.067796610169e+00,mode_2,mode_2,1.989253227744e-01
1.108474576271e+01,mode_1,mode_1,3.465128697561e-01
1.108474576271e+01,mode_1,mode_2,6.908692972830e-02
1.108474576271e+01,mode_2,mode_1,6.998365779225e-02
1.108474576271e+01,mode_2,mode_2,1.998911002339e-01
1.310169491525e+01,mode_1,mode_1,3.474495126994e-01
1.310169491525e+01,mode_1,mode_2,6.936739278987e-02
1.310169491525e+01,mode_2,mode_1,7.048913934015e-02
1.310169491525e+01,mode_2,mode_2,2.008234054105e-01
1.511864406780e+01,mode_1,mode_1,3.477614627709e-01
1.511864406780e+01,mode_1,mode_2,6.963128846970e-02
1.511864406780e+01,mode_2,mode_1,7.070545816485e-02
1.511864406780e+01,mode_2,mode_2,2.010801078989e-01
1.713559322034e+01,mode_1,mode_1,3.479866998532e-01
1.713559322034e+01,mode_1,mode_2,6.970446054750e-02
1.713559322034e+01,mode_2,mode_1,7.079144068781e-02
1.713559322034e+01,mode_2,mode_2,2.012822486245e-01
1.915254237288e+01,mode_1,mode_1,3.480727188106e-01
1.915254237288e+01,mode_1,mode_2,6.967623443334e-02
1.915254237288e+01,mode_2,mode_1,7.084856090050e-02
1.915254237288e+01,mode_2,mode_2,2.014057163665e-01
