omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,5.962299804916e-01
1.000000000000e+00,mode_1,mode_2,2.919087117774e-01
1.000000000000e+00,mode_2,mode_1,3.126871746846e-01
1.000000000000e+00,mode_2,mode_2,5.003071533016e-01
3.016949152542e+00,mode_1,mode_1,5.949463961071e-01
3.016949152542e+00,mode_1,mode_2,3.060586479789e-01
3.016949152542e+00,mode_2,mode_1,3.138962921086e-01
3.016949152542e+00,mode_2,mode_2,4.945235812172e-01
5.033898305085e+00,mode_1,mode_1,5.919304375032e-01
5.033898305085e+00,mode_1,mode_2,3.128636325571e-01
5.033898305085e+00,mode_2,mode_1,3.138550693017e-01
5.033898305085e+00,mode_2,mode_2,4.899477668389e-01
7.050847457627e+00,mode_1,mode_1,5.888483854553e-01
7.050847457627e+00,mode_1,mode_2,3.086125020745e-01
7.050847457627e+00,mode_2,mode_1,3.117832927952e-01
7.050847457627e+00,mode_2,mode_2,4.881580673872e-01
9.067796610169e+00,mode_1,mode_1,5.894757910830e-01
9.067796610169e+00,mode_1,mode_2,3.062555785187e-01
9.067796610169e+00,mode_2,mode_1,3.117747792530e-01
9.067796610169e+00,mode_2,mode_2,4.895453615115e-01
1.108474576271e+01,mode_1,mode_1,5.905102714736e-01
1.108474576271e+01,mode_1,mode_2,3.060385515022e-01
1.108474576271e+01,mode_2,mode_1,3.121259625420e-01
1.108474576271e+01,mode_2,mode_2,4.904597923582e-01
1.310169491525e+01,mode_1,mode_1,5.909924833558e-01
1.310169491525e+01,mode_1,mode_2,3.056852006386e-01
1.310169491525e+01,mode_2,mode_1,3.122970567261e-01
1.310169491525e+01,mode_2,mode_2,4.910270405973e-01
1.511864406780e+01,mode_1,mode_1,5.910132572509e-01
1.511864406780e+01,mode_1,mode_2,3.059451758920e-01
1.511864406780e+01,mode_2,mode_1,3.123628890015e-01
1.511864406780e+01,mode_2,mode_2,4.909768625318e-01
1.713559322034e+01,mode_1,mode_1,5.911758813495e-01
1.713559322034e+01,mode_1,mode_2,3.059569853476e-01
1.713559322034e+01,mode_2,mode_1,3.124477873551e-01
1.713559322034e+01,mode_2,mode_2,4.911419567874e-01
1.915254237288e+01,mode_1,mode_1,5.911737315260e-01
1.915254237288e+01,mode_1,mode_2,3.058391071696e-01
1.915254237288e+01,mode_2,mode_1,3.125053057878e-01
1.915254237288e+01,mode_2,mode_2,4.912148766398e-01
2.116949152542e+01,mode_1,mode_1,5.912432792241e-01
2.116949152542e+01,mode_1,mode_2,3.057467596429e-01
2.116949152542e+01,mode_2,mode_1,3.123335047525e-01
2.116949152542e+01,mode_2,mode_2,4.912924315329e-01
