omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,7.288152504849e-01
1.000000000000e+00,mode_1,mode_2,4.157646834337e-01
1.000000000000e+00,mode_2,mode_1,4.436218121722e-01
1.000000000000e+00,mode_2,mode_2,6.596488037326e-01
3.016949152542e+00,mode_1,mode_1,7.266651736772e-01
3.016949152542e+00,mode_1,mode_2,4.349265802644e-01
3.016949152542e+00,mode_2,mode_1,4.451034094269e-01
3.016949152542e+00,mode_2,mode_2,6.514505573024e-01
5.033898305085e+00,mode_1,mode_1,7.228974314786e-01
5.033898305085e+00,mode_1,mode_2,4.417513563471e-01
5.033898305085e+00,mode_2,mode_1,4.446627574841e-01
5.033898305085e+00,mode_2,mode_2,6.460814292837e-01
7.050847457627e+00,mode_1,mode_1,7.209891915290e-01
7.050847457627e+00,mode_1,mode_2,4.360434448690e-01
7.050847457627e+00,mode_2,mode_1,4.428679346145e-01
7.050847457627e+00,mode_2,mode_2,6.457854616517e-01
9.067796610169e+00,mode_1,mode_1,7.219956783643e-01
9.067796610169e+00,mode_1,mode_2,4.340628065754e-01
9.067796610169e+00,mode_2,mode_1,4.431210229166e-01
9.067796610169e+00,mode_2,mode_2,6.475061047666e-01
1.108474576271e+01,mode_1,mode_1,7.227394015307e-01
1.108474576271e+01,mode_1,mode_2,4.337284918786e-01
1.108474576271e+01,mode_2,mode_1,4.433930179367e-01
1.108474576271e+01,mode_2,mode_2,6.482588939985e-01
1.310169491525e+01,mode_1,mode_1,7.231873350738e-01
1.310169491525e+01,mode_1,mode_2,4.331654846923e-01
1.310169491525e+01,mode_2,mode_1,4.434942206484e-01
1.310169491525e+01,mode_2,mode_2,6.488018807885e-01
1.511864406780e+01,mode_1,mode_1,7.231329466885e-01
1.511864406780e+01,mode_1,mode_2,4.335744790008e-01
1.511864406780e+01,mode_2,mode_1,4.435514198026e-01
1.511864406780e+01,mode_2,mode_2,6.486403229305e-01
1.713559322034e+01,mode_1,mode_1,7.233057761538e-01
1.713559322034e+01,mode_1,mode_2,4.335290982543e-01
1.713559322034e+01,mode_2,mode_1,4.436244955555e-01
1.713559322034e+01,mode_2,mode_2,6.488395199607e-01
1.915254237288e+01,mode_1,mode_1,7.233010938656e-01
1.915254237288e+01,mode_1,mode_2,4.333983159867e-01
1.915254237288e+01,mode_2,mode_1,4.436852142678e-01
1.915254237288e+01,mode_2,mode_2,6.489100014264e-01
2.116949152542e+01,mode_1,mode_1,7.234206709440e-01
2.116949152542e+01,mode_1,mode_2,4.332559305411e-01
2.116949152542e+01,mode_2,mode_1,4.434804089490e-01
2.116949152542e+01,mode_2,mode_2,6.490288152590e-01
2.318644067797e+01,mode_1,mode_1,7.233401246093e-01
2.318644067797e+01,mode_1,mode_2,4.332496280234e-01
2.318644067797e+01,mode_2,mode_1,4.437415817384e-01
2.318644067797e+01,mode_2,mode_2,6.490137380157e-01
2.520338983051e+01,mode_1,mode_1,7.235088640428e-01
2.520338983051e+01,mode_1,mode_2,4.332225103691e-01
2.520338983051e+01,mode_2,mode_1,4.437078663597e-01
2.520338983051e+01,mode_2,mode_2,6.491326513133e-01
2.722033898305e+01,mode_1,mode_1,7.235247563421e-01
2.722033898305e+01,mode_1,mode_2,4.331934394453e-01
2.722033898305e+01,mode_2,mode_1,4.437233041233e-01
2.722033898305e+01,mode_2,mode_2,6.491542053832e-01
2.923728813559e+01,mode_1,mode_1,7.232770093825e-01
2.923728813559e+01,mode_1,mode_2,4.331702052629e-01
2.923728813559e+01,mode_2,mode_1,4.438701570758e-01
