omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,1.370589056565e-04
1.000000000000e+00,mode_1,mode_2,-9.567911625495e-04
1.000000000000e+00,mode_2,mode_1,-5.562504913274e-05
1.000000000000e+00,mode_2,mode_2,4.432187952390e-04
3.016949152542e+00,mode_1,mode_1,1.358596868249e-03
3.016949152542e+00,mode_1,mode_2,-3.530174829692e-03
3.016949152542e+00,mode_2,mode_1,-2.569800601053e-04
3.016949152542e+00,mode_2,mode_2,1.986137199248e-03
5.033898305085e+00,mode_1,mode_1,9.768601112727e-03
5.033898305085e+00,mode_1,mode_2,-5.838357064668e-03
5.033898305085e+00,mode_2,mode_1,2.069260746273e-04
5.033898305085e+00,mode_2,mode_2,7.548613260704e-03
7.050847457627e+00,mode_1,mode_1,2.833717759316e-02
7.050847457627e+00,mode_1,mode_2,1.602412443752e-03
7.050847457627e+00,mode_2,mode_1,8.097182399732e-03
7.050847457627e+00,mode_2,mode_2,2.162943338977e-02
9.067796610169e+00,mode_1,mode_1,4.677883142991e-02
9.067796610169e+00,mode_1,mode_2,1.805648576631e-02
9.067796610169e+00,mode_2,mode_1,2.301585912529e-02
9.067796610169e+00,mode_2,mode_2,3.970066215120e-02
1.108474576271e+01,mode_1,mode_1,4.337313627327e-02
1.108474576271e+01,mode_1,mode_2,3.116756461599e-02
1.108474576271e+01,mode_2,mode_1,2.852157273332e-02
1.108474576271e+01,mode_2,mode_2,4.069726822016e-02
1.310169491525e+01,mode_1,mode_1,7.710459327438e-03
1.310169491525e+01,mode_1,mode_2,9.042959138729e-03
1.310169491525e+01,mode_2,mode_1,6.439341078385e-03
1.310169491525e+01,mode_2,mode_2,8.174883016564e-03
1.511864406780e+01,mode_1,mode_1,-2.495010833656e-03
1.511864406780e+01,mode_1,mode_2,-1.442658925290e-03
1.511864406780e+01,mode_2,mode_1,-1.545122361933e-03
1.511864406780e+01,mode_2,mode_2,-2.237014344654e-03
1.713559322034e+01,mode_1,mode_1,-5.674828105823e-04
1.713559322034e+01,mode_1,mode_2,5.482171227472e-06
1.713559322034e+01,mode_2,mode_1,2.466329184441e-05
1.713559322034e+01,mode_2,mode_2,-2.822763262127e-04
1.915254237288e+01,mode_1,mode_1,-1.474057697704e-04
1.915254237288e+01,mode_1,mode_2,7.318679080462e-05
1.915254237288e+01,mode_2,mode_1,4.987363578882e-05
1.915254237288e+01,mode_2,mode_2,-3.154574124204e-05
2.116949152542e+01,mode_1,mode_1,-4.214803822734e-05
2.116949152542e+01,mode_1,mode_2,-2.958721917812e-05
2.116949152542e+01,mode_2,mode_1,-1.872763053281e-05
2.116949152542e+01,mode_2,mode_2,-4.064318451391e-05
2.318644067797e+01,mode_1,mode_1,-3.962861019998e-06
2.318644067797e+01,mode_1,mode_2,5.203585419009e-06
2.318644067797e+01,mode_2,mode_1,7.140892510770e-06
2.318644067797e+01,mode_2,mode_2,3.188111013811e-07
2.520338983051e+01,mode_1,mode_1,-2.832611110900e-06
2.520338983051e+01,mode_1,mode_2,-3.173782222569e-07
2.520338983051e+01,mode_2,mode_1,-1.426397488111e-06
2.520338983051e+01,mode_2,mode_2,-1.066718863526e-06
2.722033898305e+01,mode_1,mode_1,-3.446815351597e-08
