omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,3.711381947024e-01
1.000000000000e+00,mode_1,mode_2,8.166978594558e-02
1.000000000000e+00,mode_2,mode_1,9.029375987583e-02
1.000000000000e+00,mode_2,mode_2,2.295776097302e-01
3.016949152542e+00,mode_1,mode_1,3.712544628912e-01
3.016949152542e+00,mode_1,mode_2,8.712051642958e-02
3.016949152542e+00,mode_2,mode_1,9.097093840710e-02
3.016949152542e+00,mode_2,mode_2,2.278733795804e-01
5.033898305085e+00,mode_1,mode_1,3.703401988780e-01
5.033898305085e+00,mode_1,mode_2,9.171111971922e-02
5.033898305085e+00,mode_2,mode_1,9.174002333167e-02
5.033898305085e+00,mode_2,mode_2,2.261834582309e-01
7.050847457627e+00,mode_1,mode_1,3.659872831379e-01
7.050847457627e+00,mode_1,mode_2,9.159277437555e-02
7.050847457627e+00,mode_2,mode_1,9.002669386697e-02
7.050847457627e+00,mode_2,mode_2,2.223654114071e-01
9.067796610169e+00,mode_1,mode_1,3.640377556340e-01
9.067796610169e+00,mode_1,mode_2,8.772650309718e-02
9.067796610169e+00,mode_2,mode_1,8.832180030791e-02
9.067796610169e+00,mode_2,mode_2,2.212414872456e-01
1.108474576271e+01,mode_1,mode_1,3.654068348254e-01
1.108474576271e+01,mode_1,mode_2,8.748595072372e-02
1.108474576271e+01,mode_2,mode_1,8.868615289640e-02
1.108474576271e+01,mode_2,mode_2,2.223192573697e-01
1.310169491525e+01,mode_1,mode_1,3.662659556435e-01
1.310169491525e+01,mode_1,mode_2,8.768265082065e-02
1.310169491525e+01,mode_2,mode_1,8.913316572905e-02
1.310169491525e+01,mode_2,mode_2,2.231685537762e-01
1.511864406780e+01,mode_1,mode_1,3.665326723221e-01
1.511864406780e+01,mode_1,mode_2,8.791130155656e-02
1.511864406780e+01,mode_2,mode_1,8.931527746678e-02
1.511864406780e+01,mode_2,mode_2,2.233884758148e-01
1.713559322034e+01,mode_1,mode_1,3.667052525285e-01
1.713559322034e+01,mode_1,mode_2,8.798694175455e-02
1.713559322034e+01,mode_2,mode_1,8.940560317986e-02
1.713559322034e+01,mode_2,mode_2,2.235721015035e-01
1.915254237288e+01,mode_1,mode_1,3.667587707180e-01
1.915254237288e+01,mode_1,mode_2,8.793816290832e-02
1.915254237288e+01,mode_2,mode_1,8.949422293570e-02
1.915254237288e+01,mode_2,mode_2,2.236663412609e-01
2.116949152542e+01,mode_1,mode_1,3.668621422561e-01
2.116949152542e+01,mode_1,mode_2,8.790176457371e-02
2.116949152542e+01,mode_2,mode_1,8.945992103301e-02
2.116949152542e+01,mode_2,mode_2,2.237731497826e-01
2.318644067797e+01,mode_1,mode_1,3.668798984669e-01
2.318644067797e+01,mode_1,mode_2,8.790621617547e-02
2.318644067797e+01,mode_2,mode_1,8.956335653647e-02
2.318644067797e+01,mode_2,mode_2,2.238049762838e-01
2.520338983051e+01,mode_1,mode_1,3.670698182787e-01
2.520338983051e+01,mode_1,mode_2,8.791191880546e-02
2.520338983051e+01,mode_2,mode_1,8.951826785512e-02
2.520338983051e+01,mode_2,mode_2,2.239078368715e-01
2.722033898305e+01,mode_1,mode_1,3.670875217529e-01
2.722033898305e+01,mode_1,mode_2,8.790260114836e-02
2.722033898305e+01,mode_2,mode_1,8.956280193984e-02
2.722033898305e+01,mode_2,mode_2,2.239331004204e-01
2.923728813559e+01,mode_1,mode_1,3.669736989011e-01
2.923728813559e+01,mode_1,mode_2,8.790483490106e-02
2.923728813559e+01,mode_2,mode_1,8.960486592979e-02
2.923728813559e+01,mode_2,mode_2,2.239079245407e-01
3.125423728814e+01,mode_1,mode_1,3.669941869418e-01
3.125423728814e+01,mode_1,mode_2,8.781911407267e-02
3.125423728814e+01,mode_2,mode_1,8.955274518860e-02
3.125423728814e+01,mode_2,mode_2,2.238738338938e-01
3.327118644068e+01,mode_1,mode_1,3.670706355283e-01
3.327118644068e+01,mode_1,mode_2,8.795043228143e-02
3.327118644068e+01,mode_2,mode_1,8.956637923919e-02
3.327118644068e+01,mode_2,mode_2,2.240194145881e-01
3.528813559322e+01,mode_1,mode_1,3.670037894512e-01
3.528813559322e+01,mode_1,mode_2,8.783713757392e-02
3.528813559322e+01,mode_2,mode_1,8.959820025698e-02
3.528813559322e+01,mode_2,mode_2,2.238710647483e-01
3.730508474576e+01,mode_1,mode_1,3.671073853909e-01
3.730508474576e+01,mode_1,mode_2,8.795853743631e-02
3.730508474576e+01,mode_2,mode_1,8.957703098586e-02
3.730508474576e+01,mode_2,mode_2,2.240947923718e-01
3.932203389831e+01,mode_1,mode_1,3.670468770628e-01
3.932203389831e+01,mode_1,mode_2,8.777131691036e-02
3.932203389831e+01,mode_2,mode_1,8.953062634638e-02
3.932203389831e+01,mode_2,mode_2,2.238603149164e-01
4.133898305085e+01,mode_1,mode_1,3.670262314161e-01
4.133898305085e+01,mode_1,mode_2,8.790772469264e-02
4.133898305085e+01,mode_2,mode_1,8.968488279845e-02
4.133898305085e+01,mode_2,mode_2,2.239553305424e-01
4.335593220339e+01,mode_1,mode_1,3.670902243696e-01
4.335593220339e+01,mode_1,mode_2,8.798080879196e-02
4.335593220339e+01,mode_2,mode_1,8.961887729582e-02
4.335593220339e+01,mode_2,mode_2,2.241365393445e-01
4.537288135593e+01,mode_1,mode_1,3.672167159139e-01
4.537288135593e+01,mode_1,mode_2,8.787503118698e-02
4.537288135593e+01,mode_2,mode_1,8.947376585056e-02
4.537288135593e+01,mode_2,mode_2,2.240904078520e-01
4.738983050847e+01,mode_1,mode_1,3.672491954354e-01
4.738983050847e+01,mode_1,mode_2,8.773672454713e-02
4.738983050847e+01,mode_2,mode_1,8.936281263303e-02
4.738983050847e+01,mode_2,mode_2,2.239917454780e-01
4.940677966102e+01,mode_1,mode_1,3.671107969514e-01
4.940677966102e+01,mode_1,mode_2,8.770938348317e-02
4.940677966102e+01,mode_2,mode_1,8.947561790374e-02
4.940677966102e+01,mode_2,mode_2,2.238579630032e-01
5.142372881356e+01,mode_1,mode_1,3.670518801651e-01
5.142372881356e+01,mode_1,mode_2,8.769220530012e-02
5.142372881356e+01,mode_2,mode_1,8.952683543353e-02
5.142372881356e+01,mode_2,mode_2,2.237919355560e-01
5.344067796610e+01,mode_1,mode_1,3.670333186039e-01
5.344067796610e+01,mode_1,mode_2,8.767722258023e-02
5.344067796610e+01,mode_2,mode_1,8.951083210823e-02
5.344067796610e+01,mode_2,mode_2,2.237719415327e-01
5.545762711864e+01,mode_1,mode_1,3.670885131337e-01
5.545762711864e+01,mode_1,mode_2,8.766071414142e-02
5.545762711864e+01,mode_2,mode_1,8.945395621918e-02
5.545762711864e+01,mode_2,mode_2,2.238026253992e-01
5.747457627119e+01,mode_1,mode_1,3.672791859764e-01
5.747457627119e+01,mode_1,mode_2,8.765637410791e-02
5.747457627119e+01,mode_2,mode_1,8.928320824171e-02
5.747457627119e+01,mode_2,mode_2,2.239378287178e-01
5.949152542373e+01,mode_1,mode_1,3.673742313023e-01
5.949152542373e+01,mode_1,mode_2,8.775836196102e-02
5.949152542373e+01,mode_2,mode_1,8.931936725285e-02
5.949152542373e+01,mode_2,mode_2,2.240692721801e-01
6.150847457627e+01,mode_1,mode_1,3.673006589469e-01
6.150847457627e+01,mode_1,mode_2,8.800212643586e-02
6.150847457627e+01,mode_2,mode_1,8.952779932800e-02
6.150847457627e+01,mode_2,mode_2,2.242549898535e-01
6.352542372881e+01,mode_1,mode_1,3.671575621160e-01
6.352542372881e+01,mode_1,mode_2,8.816757636860e-02
6.352542372881e+01,mode_2,mode_1,8.976565263362e-02
6.352542372881e+01,mode_2,mode_2,2.243246985513e-01
6.554237288136e+01,mode_1,mode_1,3.670169109022e-01
6.554237288136e+01,mode_1,mode_2,8.800911216000e-02
6.554237288136e+01,mode_2,mode_1,9.001133969263e-02
6.554237288136e+01,mode_2,mode_2,2.239863130731e-01
6.755932203390e+01,mode_1,mode_1,3.673604878857e-01
6.755932203390e+01,mode_1,mode_2,8.772765047923e-02
6.755932203390e+01,mode_2,mode_1,8.911368961872e-02
6.755932203390e+01,mode_2,mode_2,2.240338999739e-01
6.957627118644e+01,mode_1,mode_1,3.667315343519e-01
6.957627118644e+01,mode_1,mode_2,8.788116658308e-02
6.957627118644e+01,mode_2,mode_1,8.964061821677e-02
6.957627118644e+01,mode_2,mode_2,2.237587707924e-01
7.159322033898e+01,mode_1,mode_1,3.670705758847e-01
7.159322033898e+01,mode_1,mode_2,8.786758636381e-02
7.159322033898e+01,mode_2,mode_1,8.955780868870e-02
7.159322033898e+01,mode_2,mode_2,2.239674964135e-01
7.361016949153e+01,mode_1,mode_1,3.670753655697e-01
7.361016949153e+01,mode_1,mode_2,8.786727685327e-02
7.361016949153e+01,mode_2,mode_1,8.956067970717e-02
7.361016949153e+01,mode_2,mode_2,2.239731057457e-01
7.562711864407e+01,mode_1,mode_1,3.670797235128e-01
7.562711864407e+01,mode_1,mode_2,8.786741690161e-02
7.562711864407e+01,mode_2,mode_1,8.956334654849e-02
7.562711864407e+01,mode_2,mode_2,2.239780765788e-01
7.764406779661e+01,mode_1,mode_1,3.670838033028e-01
7.764406779661e+01,mode_1,mode_2,8.786709482818e-02
