omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,2.127713590719e-03
1.000000000000e+00,mode_1,mode_2,-1.422753937303e-02
1.000000000000e+00,mode_2,mode_1,-8.695077600301e-04
1.000000000000e+00,mode_2,mode_2,6.586455742692e-03
3.016949152542e+00,mode_1,mode_1,1.009902405980e-02
3.016949152542e+00,mode_1,mode_2,-3.730845271304e-02
3.016949152542e+00,mode_2,mode_1,-1.020172574624e-03
3.016949152542e+00,mode_2,mode_2,2.078063242191e-02
5.033898305085e+00,mode_1,mode_1,2.708593402928e-02
5.033898305085e+00,mode_1,mode_2,-2.526874639024e-02
5.033898305085e+00,mode_2,mode_1,7.281034533340e-03
5.033898305085e+00,mode_2,mode_2,3.234928559964e-02
7.050847457627e+00,mode_1,mode_1,2.220878519287e-02
7.050847457627e+00,mode_1,mode_2,8.825658951455e-03
7.050847457627e+00,mode_2,mode_1,1.082433797605e-02
7.050847457627e+00,mode_2,mode_2,1.837092654751e-02
9.067796610169e+00,mode_1,mode_1,3.603673487527e-03
9.067796610169e+00,mode_1,mode_2,3.648290618608e-03
9.067796610169e+00,mode_2,mode_1,2.628204315167e-03
9.067796610169e+00,mode_2,mode_2,3.341776239036e-03
1.108474576271e+01,mode_1,mode_1,1.190650224961e-04
1.108474576271e+01,mode_1,mode_2,1.270280319368e-04
1.108474576271e+01,mode_2,mode_1,8.590381535352e-05
1.108474576271e+01,mode_2,mode_2,1.076547812319e-04
1.310169491525e+01,mode_1,mode_1,-7.007330256434e-07
1.310169491525e+01,mode_1,mode_2,-1.467797794778e-06
1.310169491525e+01,mode_2,mode_1,-1.514464340673e-06
1.310169491525e+01,mode_2,mode_2,-1.757328661378e-06
1.511864406780e+01,mode_1,mode_1,-6.454280268929e-08
1.511864406780e+01,mode_1,mode_2,-5.815524414603e-08
1.511864406780e+01,mode_2,mode_1,-6.786473134751e-08
1.511864406780e+01,mode_2,mode_2,-6.299435706581e-08
1.713559322034e+01,mode_1,mode_1,-2.597218561731e-10
1.713559322034e+01,mode_1,mode_2,-3.345415457264e-10
1.713559322034e+01,mode_2,mode_1,-2.035160813956e-10
1.713559322034e+01,mode_2,mode_2,-4.088203599957e-10
1.915254237288e+01,mode_1,mode_1,-4.098832462046e-12
1.915254237288e+01,mode_1,mode_2,-3.898370179526e-12
1.915254237288e+01,mode_2,mode_1,-3.710358691773e-12
1.915254237288e+01,mode_2,mode_2,-4.474969531527e-12
2.116949152542e+01,mode_1,mode_1,0.000000000000e+00
2.116949152542e+01,mode_1,mode_2,0.000000000000e+00
2.116949152542e+01,mode_2,mode_1,0.000000000000e+00
2.116949152542e+01,mode_2,mode_2,0.000000000000e+00
2.318644067797e+01,mode_1,mode_1,0.000000000000e+00
2.318644067797e+01,mode_1,mode_2,0.000000000000e+00
2.318644067797e+01,mode_2,mode_1,0.000000000000e+00
2.318644067797e+01,mode_2,mode_2,0.000000000000e+00
2.520338983051e+01,mode_1,mode_1,0.000000000000e+00
2.520338983051e+01,mode_1,mode_2,0.000000000000e+00
2.520338983051e+01,mode_2,mode_1,0.000000000000e+00
2.520338983051e+01,mode_2,mode_2,0.000000000000e+00
2.722033898305e+01,mode_1,mode_1,0.000000000000e+00
2.722033898305e+01,mode_1,mode_2,0.000000000000e+00
2.722033898305e+01,mode_2,mode_1,0.000000000000e+00
2.722033898305e+01,mode_2,mode_2,0.000000000000e+00
2.923728813559e+01,mode_1,mode_1,-1.343066643764e-115
2.923728813559e+01,mode_1,mode_2,-7.170120429693e-115
2.923728813559e+01,mode_2,mode_1,-1.087417900519e-114
2.923728813559e+01,mode_2,mode_2,-6.286828528539e-115
3.125423728814e+01,mode_1,mode_1,-1.190786289379e-132
3.125423728814e+01,mode_1,mode_2,-6.928961972103e-132
3.125423728814e+01,mode_2,mode_1,-1.077507031458e-131
3.125423728814e+01,mode_2,mode_2,-6.048950496229e-132
3.327118644068e+01,mode_1,mode_1,-7.092284103606e-151
3.327118644068e+01,mode_1,mode_2,-4.713845449260e-150
3.327118644068e+01,mode_2,mode_1,-7.452875601065e-150
3.327118644068e+01,mode_2,mode_2,-4.015941470413e-150
3.528813559322e+01,mode_1,mode_1,-5.654504580327e-46
3.528813559322e+01,mode_1,mode_2,-8.261815513250e-46
3.528813559322e+01,mode_2,mode_1,-1.186796483554e-45
3.528813559322e+01,mode_2,mode_2,-8.264757329537e-46
3.730508474576e+01,mode_1,mode_1,-4.712573290099e-48
3.730508474576e+01,mode_1,mode_2,2.314556901959e-48
3.730508474576e+01,mode_2,mode_1,6.262642142325e-48
3.730508474576e+01,mode_2,mode_2,-2.976380428024e-48
3.932203389831e+01,mode_1,mode_1,-3.915510337852e-53
3.932203389831e+01,mode_1,mode_2,6.583301940709e-53
3.932203389831e+01,mode_2,mode_1,1.102423117918e-52
3.932203389831e+01,mode_2,mode_2,-1.177956834427e-53
4.133898305085e+01,mode_1,mode_1,-1.097851645769e-57
4.133898305085e+01,mode_1,mode_2,1.814026930912e-58
