omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,2.872284168576e-04
1.000000000000e+00,mode_1,mode_2,-1.729287495267e-03
1.000000000000e+00,mode_2,mode_1,-1.181306661103e-04
1.000000000000e+00,mode_2,mode_2,8.007794567134e-04
3.016949152542e+00,mode_1,mode_1,2.271230469840e-03
3.016949152542e+00,mode_1,mode_2,-6.098889159572e-03
3.016949152542e+00,mode_2,mode_1,-4.130015121482e-04
3.016949152542e+00,mode_2,mode_2,3.430431364028e-03
5.033898305085e+00,mode_1,mode_1,1.414436529645e-02
5.033898305085e+00,mode_1,mode_2,-9.149452773929e-03
5.033898305085e+00,mode_2,mode_1,9.756492695185e-04
5.033898305085e+00,mode_2,mode_2,1.200729060258e-02
7.050847457627e+00,mode_1,mode_1,3.701954122137e-02
7.050847457627e+00,mode_1,mode_2,3.190484244612e-03
7.050847457627e+00,mode_2,mode_1,1.335627279379e-02
7.050847457627e+00,mode_2,mode_2,3.074360121535e-02
9.067796610169e+00,mode_1,mode_1,4.693634768286e-02
9.067796610169e+00,mode_1,mode_2,2.523285841611e-02
9.067796610169e+00,mode_2,mode_1,2.741228648509e-02
9.067796610169e+00,mode_2,mode_2,4.204540593675e-02
1.108474576271e+01,mode_1,mode_1,2.223900450912e-02
1.108474576271e+01,mode_1,mode_2,2.096909229705e-02
1.108474576271e+01,mode_2,mode_1,1.759718328320e-02
1.108474576271e+01,mode_2,mode_2,2.261609128008e-02
1.310169491525e+01,mode_1,mode_1,1.459066960941e-03
1.310169491525e+01,mode_1,mode_2,1.750802257536e-03
1.310169491525e+01,mode_2,mode_1,9.270620246661e-04
1.310169491525e+01,mode_2,mode_2,1.340164418172e-03
1.511864406780e+01,mode_1,mode_1,-9.496747968604e-04
1.511864406780e+01,mode_1,mode_2,-4.219692878262e-04
1.511864406780e+01,mode_2,mode_1,-4.873688202745e-04
1.511864406780e+01,mode_2,mode_2,-7.361934138897e-04
1.713559322034e+01,mode_1,mode_1,-1.091715906035e-04
1.713559322034e+01,mode_1,mode_2,-2.822890548967e-05
1.713559322034e+01,mode_2,mode_1,-2.482768629189e-05
1.713559322034e+01,mode_2,mode_2,-7.109223352431e-05
1.915254237288e+01,mode_1,mode_1,-5.204342901987e-06
1.915254237288e+01,mode_1,mode_2,7.168427920918e-06
1.915254237288e+01,mode_2,mode_1,1.065340411288e-05
1.915254237288e+01,mode_2,mode_2,6.816098455223e-07
2.116949152542e+01,mode_1,mode_1,-5.245964333525e-06
2.116949152542e+01,mode_1,mode_2,-8.370588547306e-07
2.116949152542e+01,mode_2,mode_1,-1.487317459131e-06
2.116949152542e+01,mode_2,mode_2,-3.097984194644e-06
2.318644067797e+01,mode_1,mode_1,-3.902278282503e-07
2.318644067797e+01,mode_1,mode_2,-2.171381440605e-07
2.318644067797e+01,mode_2,mode_1,-1.110499806667e-07
2.318644067797e+01,mode_2,mode_2,-4.061971740528e-07
2.520338983051e+01,mode_1,mode_1,-1.774498159696e-08
2.520338983051e+01,mode_1,mode_2,1.281135716275e-08
2.520338983051e+01,mode_2,mode_1,-5.636005232840e-09
2.520338983051e+01,mode_2,mode_2,7.903156382928e-09
2.722033898305e+01,mode_1,mode_1,5.846301657739e-10
2.722033898305e+01,mode_1,mode_2,8.517181889751e-10
2.722033898305e+01,mode_2,mode_1,4.196685784997e-10
2.722033898305e+01,mode_2,mode_2,1.357435534030e-09
2.923728813559e+01,mode_1,mode_1,1.148559928564e-10
2.923728813559e+01,mode_1,mode_2,-9.819666233352e-12
2.923728813559e+01,mode_2,mode_1,6.422317040534e-11
2.923728813559e+01,mode_2,mode_2,3.775085890869e-11
3.125423728814e+01,mode_1,mode_1,-1.410833763460e-11
3.125423728814e+01,mode_1,mode_2,6.366937510141e-12
3.125423728814e+01,mode_2,mode_1,-4.892738622100e-13
3.125423728814e+01,mode_2,mode_2,1.088043369540e-11
3.327118644068e+01,mode_1,mode_1,-2.603919316664e-13
3.327118644068e+01,mode_1,mode_2,-2.640549591212e-13
3.327118644068e+01,mode_2,mode_1,-2.138780525218e-13
3.327118644068e+01,mode_2,mode_2,-4.901388214353e-13
3.528813559322e+01,mode_1,mode_1,3.786020623822e-14
3.528813559322e+01,mode_1,mode_2,2.903243263187e-14
3.528813559322e+01,mode_2,mode_1,7.391519949205e-14
3.528813559322e+01,mode_2,mode_2,-9.217765438144e-15
3.730508474576e+01,mode_1,mode_1,1.475722812867e-18
3.730508474576e+01,mode_1,mode_2,2.196880752810e-18
3.730508474576e+01,mode_2,mode_1,2.189714204991e-17
3.730508474576e+01,mode_2,mode_2,-1.154427800771e-17
3.932203389831e+01,mode_1,mode_1,1.315829042975e-19
3.932203389831e+01,mode_1,mode_2,5.156721641056e-19
3.932203389831e+01,mode_2,mode_1,1.279410754009e-18
3.932203389831e+01,mode_2,mode_2,-1.059163318510e-19
4.133898305085e+01,mode_1,mode_1,-2.993021580776e-20
4.133898305085e+01,mode_1,mode_2,-2.546136734288e-21
4.133898305085e+01,mode_2,mode_1,3.993734857071e-20
4.133898305085e+01,mode_2,mode_2,-4.955703352998e-20
4.335593220339e+01,mode_1,mode_1,-9.054019322951e-22
4.335593220339e+01,mode_1,mode_2,-1.039968989538e-22
4.335593220339e+01,mode_2,mode_1,8.040893405056e-22
4.335593220339e+01,mode_2,mode_2,-1.221440921196e-21
4.537288135593e+01,mode_1,mode_1,-2.789804503833e-23
4.537288135593e+01,mode_1,mode_2,-1.592689190615e-24
4.537288135593e+01,mode_2,mode_1,1.880140047452e-23
4.537288135593e+01,mode_2,mode_2,-3.028221369985e-23
4.738983050847e+01,mode_1,mode_1,6.350239474674e-25
4.738983050847e+01,mode_1,mode_2,2.147254456132e-25
4.738983050847e+01,mode_2,mode_1,-1.144678452089e-25
4.738983050847e+01,mode_2,mode_2,7.342985460692e-25
4.940677966102e+01,mode_1,mode_1,-1.175641945007e-26
4.940677966102e+01,mode_1,mode_2,-3.114830489584e-27
4.940677966102e+01,mode_2,mode_1,4.318212260826e-27
4.940677966102e+01,mode_2,mode_2,-1.420560477212e-26
5.142372881356e+01,mode_1,mode_1,3.905527990451e-29
5.142372881356e+01,mode_1,mode_2,8.305707299330e-30
5.142372881356e+01,mode_2,mode_1,-7.820156846893e-30
5.142372881356e+01,mode_2,mode_2,3.801536412100e-29
5.344067796610e+01,mode_1,mode_1,8.712407063928e-32
5.344067796610e+01,mode_1,mode_2,2.424514543696e-32
5.344067796610e+01,mode_2,mode_1,-7.127075919202e-33
5.344067796610e+01,mode_2,mode_2,8.670626360198e-32
5.545762711864e+01,mode_1,mode_1,2.848228860722e-34
5.545762711864e+01,mode_1,mode_2,6.712902499399e-35
5.545762711864e+01,mode_2,mode_1,-3.581545451151e-35
5.545762711864e+01,mode_2,mode_2,2.745337274928e-34
5.747457627119e+01,mode_1,mode_1,5.769806355547e-37
5.747457627119e+01,mode_1,mode_2,1.204075737513e-37
5.747457627119e+01,mode_2,mode_1,-8.211521046039e-38
