omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,2.554411492521e-01
1.000000000000e+00,mode_1,mode_2,-2.567297655360e-02
1.000000000000e+00,mode_2,mode_1,-2.371877858225e-02
1.000000000000e+00,mode_2,mode_2,9.032251140061e-02
3.016949152542e+00,mode_1,mode_1,2.559309653556e-01
3.016949152542e+00,mode_1,mode_2,-2.453724271924e-02
3.016949152542e+00,mode_2,mode_1,-2.349553641054e-02
3.016949152542e+00,mode_2,mode_2,9.028254880875e-02
5.033898305085e+00,mode_1,mode_1,2.564663827869e-01
5.033898305085e+00,mode_1,mode_2,-2.301414994391e-02
5.033898305085e+00,mode_2,mode_1,-2.283983927806e-02
5.033898305085e+00,mode_2,mode_2,9.057594426299e-02
7.050847457627e+00,mode_1,mode_1,2.550837792391e-01
7.050847457627e+00,mode_1,mode_2,-2.199210746612e-02
7.050847457627e+00,mode_2,mode_1,-2.254294935240e-02
7.050847457627e+00,mode_2,mode_2,8.977620951206e-02
9.067796610169e+00,mode_1,mode_1,2.518174917564e-01
9.067796610169e+00,mode_1,mode_2,-2.300079809749e-02
9.067796610169e+00,mode_2,mode_1,-2.403606654575e-02
9.067796610169e+00,mode_2,mode_2,8.716571787644e-02
1.108474576271e+01,mode_1,mode_1,2.490990004840e-01
1.108474576271e+01,mode_1,mode_2,-2.576033583825e-02
1.108474576271e+01,mode_2,mode_1,-2.618252593021e-02
1.108474576271e+01,mode_2,mode_2,8.454268857842e-02
1.310169491525e+01,mode_1,mode_1,2.500868092690e-01
1.310169491525e+01,mode_1,mode_2,-2.606362874597e-02
1.310169491525e+01,mode_2,mode_1,-2.608233067481e-02
1.310169491525e+01,mode_2,mode_2,8.517782597079e-02
1.511864406780e+01,mode_1,mode_1,2.511981998291e-01
1.511864406780e+01,mode_1,mode_2,-2.515056556555e-02
1.511864406780e+01,mode_2,mode_1,-2.524234188497e-02
1.511864406780e+01,mode_2,mode_2,8.629388339812e-02
1.713559322034e+01,mode_1,mode_1,2.517343735936e-01
1.713559322034e+01,mode_1,mode_2,-2.496503349388e-02
1.713559322034e+01,mode_2,mode_1,-2.504750666084e-02
1.713559322034e+01,mode_2,mode_2,8.667369035721e-02
1.915254237288e+01,mode_1,mode_1,2.518462488161e-01
1.915254237288e+01,mode_1,mode_2,-2.484281851930e-02
1.915254237288e+01,mode_2,mode_1,-2.491292654198e-02
1.915254237288e+01,mode_2,mode_2,8.685431363029e-02
2.116949152542e+01,mode_1,mode_1,2.519579622822e-01
2.116949152542e+01,mode_1,mode_2,-2.478266053836e-02
2.116949152542e+01,mode_2,mode_1,-2.484418502614e-02
2.116949152542e+01,mode_2,mode_2,8.696336792818e-02
2.318644067797e+01,mode_1,mode_1,2.520384008660e-01
2.318644067797e+01,mode_1,mode_2,-2.474501689347e-02
2.318644067797e+01,mode_2,mode_1,-2.480134194293e-02
2.318644067797e+01,mode_2,mode_2,8.704319161243e-02
2.520338983051e+01,mode_1,mode_1,2.522091025521e-01
2.520338983051e+01,mode_1,mode_2,-2.483209099923e-02
2.520338983051e+01,mode_2,mode_1,-2.482018833155e-02
2.520338983051e+01,mode_2,mode_2,8.707901540706e-02
2.722033898305e+01,mode_1,mode_1,2.523247660965e-01
2.722033898305e+01,mode_1,mode_2,-2.480426719308e-02
2.722033898305e+01,mode_2,mode_1,-2.480056591714e-02
2.722033898305e+01,mode_2,mode_2,8.716836814089e-02
2.923728813559e+01,mode_1,mode_1,2.522138958242e-01
2.923728813559e+01,mode_1,mode_2,-2.472199878832e-02
2.923728813559e+01,mode_2,mode_1,-2.473215133472e-02
2.923728813559e+01,mode_2,mode_2,8.719673118402e-02
3.125423728814e+01,mode_1,mode_1,2.521935510741e-01
3.125423728814e+01,mode_1,mode_2,-2.469164166739e-02
3.125423728814e+01,mode_2,mode_1,-2.469200861572e-02
3.125423728814e+01,mode_2,mode_2,8.721728719000e-02
3.327118644068e+01,mode_1,mode_1,2.522929269579e-01
3.327118644068e+01,mode_1,mode_2,-2.472348009912e-02
3.327118644068e+01,mode_2,mode_1,-2.471272825844e-02
3.327118644068e+01,mode_2,mode_2,8.722993238033e-02
3.528813559322e+01,mode_1,mode_1,2.522953834076e-01
3.528813559322e+01,mode_1,mode_2,-2.470458542174e-02
3.528813559322e+01,mode_2,mode_1,-2.470182948498e-02
3.528813559322e+01,mode_2,mode_2,8.725440286196e-02
3.730508474576e+01,mode_1,mode_1,2.523288057231e-01
3.730508474576e+01,mode_1,mode_2,-2.471401397607e-02
3.730508474576e+01,mode_2,mode_1,-2.469653772570e-02
3.730508474576e+01,mode_2,mode_2,8.726331408317e-02
3.932203389831e+01,mode_1,mode_1,2.523063235740e-01
3.932203389831e+01,mode_1,mode_2,-2.468326884889e-02
3.932203389831e+01,mode_2,mode_1,-2.466329879430e-02
3.932203389831e+01,mode_2,mode_2,8.727597189313e-02
4.133898305085e+01,mode_1,mode_1,2.523765680577e-01
4.133898305085e+01,mode_1,mode_2,-2.472002545461e-02
4.133898305085e+01,mode_2,mode_1,-2.469741012618e-02
4.133898305085e+01,mode_2,mode_2,8.728522269992e-02
4.335593220339e+01,mode_1,mode_1,2.523884127988e-01
4.335593220339e+01,mode_1,mode_2,-2.471883417228e-02
4.335593220339e+01,mode_2,mode_1,-2.468740835461e-02
4.335593220339e+01,mode_2,mode_2,8.729329365339e-02
4.537288135593e+01,mode_1,mode_1,2.523336193920e-01
4.537288135593e+01,mode_1,mode_2,-2.467934005711e-02
4.537288135593e+01,mode_2,mode_1,-2.466361173801e-02
4.537288135593e+01,mode_2,mode_2,8.730662383420e-02
4.738983050847e+01,mode_1,mode_1,2.523266037436e-01
4.738983050847e+01,mode_1,mode_2,-2.467377334593e-02
4.738983050847e+01,mode_2,mode_1,-2.464910259263e-02
4.738983050847e+01,mode_2,mode_2,8.730146105238e-02
4.940677966102e+01,mode_1,mode_1,2.523321708664e-01
4.940677966102e+01,mode_1,mode_2,-2.465437471862e-02
4.940677966102e+01,mode_2,mode_1,-2.463936042436e-02
4.940677966102e+01,mode_2,mode_2,8.732184719237e-02
5.142372881356e+01,mode_1,mode_1,2.523415562628e-01
5.142372881356e+01,mode_1,mode_2,-2.466779722203e-02
5.142372881356e+01,mode_2,mode_1,-2.463838888265e-02
5.142372881356e+01,mode_2,mode_2,8.730929618337e-02
5.344067796610e+01,mode_1,mode_1,2.523455382253e-01
5.344067796610e+01,mode_1,mode_2,-2.466879554007e-02
5.344067796610e+01,mode_2,mode_1,-2.463647526636e-02
5.344067796610e+01,mode_2,mode_2,8.731281490156e-02
5.545762711864e+01,mode_1,mode_1,2.523366675277e-01
5.545762711864e+01,mode_1,mode_2,-2.465099936196e-02
5.545762711864e+01,mode_2,mode_1,-2.463489388883e-02
5.545762711864e+01,mode_2,mode_2,8.732660730684e-02
5.747457627119e+01,mode_1,mode_1,2.523124143743e-01
5.747457627119e+01,mode_1,mode_2,-2.466097375944e-02
5.747457627119e+01,mode_2,mode_1,-2.465342394167e-02
5.747457627119e+01,mode_2,mode_2,8.731941399630e-02
5.949152542373e+01,mode_1,mode_1,2.523108455776e-01
5.949152542373e+01,mode_1,mode_2,-2.468135398586e-02
5.949152542373e+01,mode_2,mode_1,-2.465657903945e-02
5.949152542373e+01,mode_2,mode_2,8.729827283621e-02
6.150847457627e+01,mode_1,mode_1,2.523439401067e-01
6.150847457627e+01,mode_1,mode_2,-2.471367522889e-02
6.150847457627e+01,mode_2,mode_1,-2.468966648723e-02
6.150847457627e+01,mode_2,mode_2,8.729316869365e-02
6.352542372881e+01,mode_1,mode_1,2.524385014866e-01
6.352542372881e+01,mode_1,mode_2,-2.476532422997e-02
6.352542372881e+01,mode_2,mode_1,-2.470184377452e-02
6.352542372881e+01,mode_2,mode_2,8.727889344401e-02
6.554237288136e+01,mode_1,mode_1,2.524580308316e-01
6.554237288136e+01,mode_1,mode_2,-2.477848303198e-02
6.554237288136e+01,mode_2,mode_1,-2.473635680676e-02
6.554237288136e+01,mode_2,mode_2,8.728058262908e-02
6.755932203390e+01,mode_1,mode_1,2.523808985224e-01
6.755932203390e+01,mode_1,mode_2,-2.466820392535e-02
6.755932203390e+01,mode_2,mode_1,-2.465430258049e-02
6.755932203390e+01,mode_2,mode_2,8.732084643991e-02
6.957627118644e+01,mode_1,mode_1,2.523051083218e-01
6.957627118644e+01,mode_1,mode_2,-2.464494077613e-02
6.957627118644e+01,mode_2,mode_1,-2.463413445473e-02
6.957627118644e+01,mode_2,mode_2,8.731496368952e-02
7.159322033898e+01,mode_1,mode_1,2.523679921517e-01
7.159322033898e+01,mode_1,mode_2,-2.472321023099e-02
7.159322033898e+01,mode_2,mode_1,-2.470576513138e-02
7.159322033898e+01,mode_2,mode_2,8.728267129941e-02
7.361016949153e+01,mode_1,mode_1,2.525124907763e-01
7.361016949153e+01,mode_1,mode_2,-2.476375520838e-02
7.361016949153e+01,mode_2,mode_1,-2.470337910955e-02
7.361016949153e+01,mode_2,mode_2,8.730389883157e-02
7.562711864407e+01,mode_1,mode_1,2.523257080340e-01
7.562711864407e+01,mode_1,mode_2,-2.463457251303e-02
7.562711864407e+01,mode_2,mode_1,-2.464848927658e-02
7.562711864407e+01,mode_2,mode_2,8.731908091878e-02
7.764406779661e+01,mode_1,mode_1,2.522954364783e-01
7.764406779661e+01,mode_1,mode_2,-2.464300687442e-02
7.764406779661e+01,mode_2,mode_1,-2.465827311749e-02
7.764406779661e+01,mode_2,mode_2,8.732123136876e-02
7.966101694915e+01,mode_1,mode_1,2.524732408459e-01
7.966101694915e+01,mode_1,mode_2,-2.475455822255e-02
7.966101694915e+01,mode_2,mode_1,-2.473129923255e-02
7.966101694915e+01,mode_2,mode_2,8.730486786217e-02
8.167796610169e+01,mode_1,mode_1,2.523194126923e-01
8.167796610169e+01,mode_1,mode_2,-2.461262865616e-02
8.167796610169e+01,mode_2,mode_1,-2.464069128371e-02
8.167796610169e+01,mode_2,mode_2,8.732544959116e-02
8.369491525424e+01,mode_1,mode_1,2.523072058506e-01
8.369491525424e+01,mode_1,mode_2,-2.467392614968e-02
8.369491525424e+01,mode_2,mode_1,-2.467111442179e-02
8.369491525424e+01,mode_2,mode_2,8.726930740736e-02
8.571186440678e+01,mode_1,mode_1,2.525261530289e-01
8.571186440678e+01,mode_1,mode_2,-2.477905303540e-02
8.571186440678e+01,mode_2,mode_1,-2.474890523391e-02
8.571186440678e+01,mode_2,mode_2,8.730063519419e-02
8.772881355932e+01,mode_1,mode_1,2.522862446277e-01
8.772881355932e+01,mode_1,mode_2,-2.458024553242e-02
8.772881355932e+01,mode_2,mode_1,-2.458636830843e-02
8.772881355932e+01,mode_2,mode_2,8.733462611767e-02
8.974576271186e+01,mode_1,mode_1,2.524618753589e-01
8.974576271186e+01,mode_1,mode_2,-2.477848429971e-02
8.974576271186e+01,mode_2,mode_1,-2.469547192537e-02
8.974576271186e+01,mode_2,mode_2,8.725627674136e-02
9.176271186441e+01,mode_1,mode_1,2.525253856927e-01
9.176271186441e+01,mode_1,mode_2,-2.461519630966e-02
9.176271186441e+01,mode_2,mode_1,-2.460452797839e-02
9.176271186441e+01,mode_2,mode_2,8.738467547101e-02
9.377966101695e+01,mode_1,mode_1,2.524090538486e-01
9.377966101695e+01,mode_1,mode_2,-2.464665148509e-02
9.377966101695e+01,mode_2,mode_1,-2.458767957373e-02
9.377966101695e+01,mode_2,mode_2,8.732860810127e-02
9.579661016949e+01,mode_1,mode_1,2.526741097940e-01
9.579661016949e+01,mode_1,mode_2,-2.440652290069e-02
9.579661016949e+01,mode_2,mode_1,-2.457420467926e-02
9.579661016949e+01,mode_2,mode_2,8.766680983084e-02
9.781355932203e+01,mode_1,mode_1,2.523988996776e-01
9.781355932203e+01,mode_1,mode_2,-2.460322817357e-02
9.781355932203e+01,mode_2,mode_1,-2.469850541635e-02
9.781355932203e+01,mode_2,mode_2,8.737569855250e-02
9.983050847458e+01,mode_1,mode_1,2.524319020553e-01
9.983050847458e+01,mode_1,mode_2,-2.484752138129e-02
9.983050847458e+01,mode_2,mode_1,-2.487437537688e-02
9.983050847458e+01,mode_2,mode_2,8.720073623146e-02
1.018474576271e+02,mode_1,mode_1,2.521129172243e-01
1.018474576271e+02,mode_1,mode_2,-2.475653719956e-02
1.018474576271e+02,mode_2,mode_1,-2.475306594553e-02
1.018474576271e+02,mode_2,mode_2,8.710955029384e-02
1.038644067797e+02,mode_1,mode_1,2.521541954958e-01
1.038644067797e+02,mode_1,mode_2,-2.463742533100e-02
1.038644067797e+02,mode_2,mode_1,-2.461660569316e-02
1.038644067797e+02,mode_2,mode_2,8.719626028238e-02
1.058813559322e+02,mode_1,mode_1,2.523231560883e-01
1.058813559322e+02,mode_1,mode_2,-2.466854930512e-02
1.058813559322e+02,mode_2,mode_1,-2.467578444183e-02
1.058813559322e+02,mode_2,mode_2,8.727688829842e-02
1.078983050847e+02,mode_1,mode_1,2.523275935649e-01
1.078983050847e+02,mode_1,mode_2,-2.466814493212e-02
1.078983050847e+02,mode_2,mode_1,-2.467402101488e-02
1.078983050847e+02,mode_2,mode_2,8.728065987678e-02
1.099152542373e+02,mode_1,mode_1,2.523318066241e-01
1.099152542373e+02,mode_1,mode_2,-2.466791531651e-02
1.099152542373e+02,mode_2,mode_1,-2.467236112091e-02
1.099152542373e+02,mode_2,mode_2,8.728429597465e-02
1.119322033898e+02,mode_1,mode_1,2.523357554420e-01
1.119322033898e+02,mode_1,mode_2,-2.466736213557e-02
1.119322033898e+02,mode_2,mode_1,-2.467077397397e-02
1.119322033898e+02,mode_2,mode_2,8.728758290697e-02
1.139491525424e+02,mode_1,mode_1,2.523395411861e-01
1.139491525424e+02,mode_1,mode_2,-2.466723000044e-02
1.139491525424e+02,mode_2,mode_1,-2.466928923752e-02
1.139491525424e+02,mode_2,mode_2,8.729087688816e-02
1.159661016949e+02,mode_1,mode_1,2.523431208715e-01
1.159661016949e+02,mode_1,mode_2,-2.466701454733e-02
1.159661016949e+02,mode_2,mode_1,-2.466787695134e-02
1.159661016949e+02,mode_2,mode_2,8.729395910466e-02
1.179830508475e+02,mode_1,mode_1,2.523464459553e-01
1.179830508475e+02,mode_1,mode_2,-2.466617119616e-02
1.179830508475e+02,mode_2,mode_1,-2.466650568879e-02
1.179830508475e+02,mode_2,mode_2,8.729659131092e-02
1.200000000000e+02,mode_1,mode_1,2.523497220536e-01
1.200000000000e+02,mode_1,mode_2,-2.466640121663e-02
1.200000000000e+02,mode_2,mode_1,-2.466525267691e-02
1.200000000000e+02,mode_2,mode_2,8.729956537380e-02
