omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,2.686054836001e-03
1.000000000000e+00,mode_1,mode_2,-1.802446395090e-02
1.000000000000e+00,mode_2,mode_1,-1.097102577505e-03
1.000000000000e+00,mode_2,mode_2,8.344343614265e-03
3.016949152542e+00,mode_1,mode_1,1.196757144389e-02
3.016949152542e+00,mode_1,mode_2,-4.480768209742e-02
3.016949152542e+00,mode_2,mode_1,-1.163704099167e-03
3.016949152542e+00,mode_2,mode_2,2.492670994285e-02
5.033898305085e+00,mode_1,mode_1,2.717507355243e-02
5.033898305085e+00,mode_1,mode_2,-2.531066492918e-02
5.033898305085e+00,mode_2,mode_1,7.428152119452e-03
5.033898305085e+00,mode_2,mode_2,3.242329127146e-02
7.050847457627e+00,mode_1,mode_1,1.514256559614e-02
7.050847457627e+00,mode_1,mode_2,8.061203623951e-03
7.050847457627e+00,mode_2,mode_1,8.586411179055e-03
7.050847457627e+00,mode_2,mode_2,1.352371644812e-02
9.067796610169e+00,mode_1,mode_1,2.256610700501e-03
9.067796610169e+00,mode_1,mode_2,1.781247313661e-03
9.067796610169e+00,mode_2,mode_1,1.295091529679e-03
9.067796610169e+00,mode_2,mode_2,1.743263281095e-03
1.108474576271e+01,mode_1,mode_1,7.388799784278e-05
1.108474576271e+01,mode_1,mode_2,8.712008809432e-05
1.108474576271e+01,mode_2,mode_1,7.282836086532e-05
1.108474576271e+01,mode_2,mode_2,8.399750080944e-05
1.310169491525e+01,mode_1,mode_1,-4.531244403499e-07
1.310169491525e+01,mode_1,mode_2,-2.816458922615e-07
1.310169491525e+01,mode_2,mode_1,-4.769297490807e-07
1.310169491525e+01,mode_2,mode_2,-4.582226755791e-07
1.511864406780e+01,mode_1,mode_1,-1.165283336246e-09
1.511864406780e+01,mode_1,mode_2,1.876027436317e-09
1.511864406780e+01,mode_2,mode_1,-8.725394475493e-10
1.511864406780e+01,mode_2,mode_2,1.125275167357e-09
1.713559322034e+01,mode_1,mode_1,7.544712001904e-11
1.713559322034e+01,mode_1,mode_2,1.118356692998e-10
1.713559322034e+01,mode_2,mode_1,1.164430429041e-10
1.713559322034e+01,mode_2,mode_2,1.113563571695e-10
1.915254237288e+01,mode_1,mode_1,-4.163575790818e-13
1.915254237288e+01,mode_1,mode_2,-6.436106490144e-13
1.915254237288e+01,mode_2,mode_1,-6.657287944980e-13
1.915254237288e+01,mode_2,mode_2,-7.144257527544e-13
2.116949152542e+01,mode_1,mode_1,0.000000000000e+00
2.116949152542e+01,mode_1,mode_2,0.000000000000e+00
2.116949152542e+01,mode_2,mode_1,0.000000000000e+00
2.116949152542e+01,mode_2,mode_2,0.000000000000e+00
2.318644067797e+01,mode_1,mode_1,0.000000000000e+00
2.318644067797e+01,mode_1,mode_2,0.000000000000e+00
2.318644067797e+01,mode_2,mode_1,0.000000000000e+00
2.318644067797e+01,mode_2,mode_2,0.000000000000e+00
2.520338983051e+01,mode_1,mode_1,0.000000000000e+00
2.520338983051e+01,mode_1,mode_2,0.000000000000e+00
2.520338983051e+01,mode_2,mode_1,0.000000000000e+00
2.520338983051e+01,mode_2,mode_2,0.000000000000e+00
2.722033898305e+01,mode_1,mode_1,0.000000000000e+00
2.722033898305e+01,mode_1,mode_2,0.000000000000e+00
2.722033898305e+01,mode_2,mode_1,0.000000000000e+00
2.722033898305e+01,mode_2,mode_2,0.000000000000e+00
2.923728813559e+01,mode_1,mode_1,-1.497728746132e-111
2.923728813559e+01,mode_1,mode_2,-6.479260890225e-111
2.923728813559e+01,mode_2,mode_1,-9.546473762204e-111
2.923728813559e+01,mode_2,mode_2,-5.978937844272e-111
3.125423728814e+01,mode_1,mode_1,-4.762529655911e-128
3.125423728814e+01,mode_1,mode_2,-2.210714555961e-127
3.125423728814e+01,mode_2,mode_1,-3.305712903713e-127
3.125423728814e+01,mode_2,mode_2,-2.025629394099e-127
3.327118644068e+01,mode_1,mode_1,-1.142203060192e-145
3.327118644068e+01,mode_1,mode_2,-5.744592227561e-145
3.327118644068e+01,mode_2,mode_1,-8.753432084586e-145
3.327118644068e+01,mode_2,mode_2,-5.250843855727e-145
3.528813559322e+01,mode_1,mode_1,-1.711633351406e-51
3.528813559322e+01,mode_1,mode_2,-2.695740764218e-51
3.528813559322e+01,mode_2,mode_1,-3.801069727214e-51
3.528813559322e+01,mode_2,mode_2,-2.635429942853e-51
3.730508474576e+01,mode_1,mode_1,-3.735642534050e-54
3.730508474576e+01,mode_1,mode_2,1.806798215078e-54
3.730508474576e+01,mode_2,mode_1,4.461416415636e-54
3.730508474576e+01,mode_2,mode_2,-2.115282977045e-54
3.932203389831e+01,mode_1,mode_1,-6.162396127561e-60
3.932203389831e+01,mode_1,mode_2,9.461662001530e-60
3.932203389831e+01,mode_2,mode_1,1.515590641102e-59
3.932203389831e+01,mode_2,mode_2,-1.548537656574e-60
