omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,5.099680400004e-01
1.000000000000e+00,mode_1,mode_2,2.112833424863e-01
1.000000000000e+00,mode_2,mode_1,2.274571297934e-01
1.000000000000e+00,mode_2,mode_2,3.965938981490e-01
3.016949152542e+00,mode_1,mode_1,5.092038849339e-01
3.016949152542e+00,mode_1,mode_2,2.221226783575e-01
3.016949152542e+00,mode_2,mode_1,2.284912003254e-01
3.016949152542e+00,mode_2,mode_2,3.923909011781e-01
5.033898305085e+00,mode_1,mode_1,5.068445017687e-01
5.033898305085e+00,mode_1,mode_2,2.284996560478e-01
5.033898305085e+00,mode_2,mode_1,2.287559836590e-01
5.033898305085e+00,mode_2,mode_2,3.886467397184e-01
7.050847457627e+00,mode_1,mode_1,5.029879435949e-01
7.050847457627e+00,mode_1,mode_2,2.255958650054e-01
7.050847457627e+00,mode_2,mode_1,2.265708640377e-01
7.050847457627e+00,mode_2,mode_2,3.858099971775e-01
9.067796610169e+00,mode_1,mode_1,5.033181133132e-01
9.067796610169e+00,mode_1,mode_2,2.226267173272e-01
9.067796610169e+00,mode_2,mode_1,2.261493751115e-01
9.067796610169e+00,mode_2,mode_2,3.867186513855e-01
1.108474576271e+01,mode_1,mode_1,5.044161789328e-01
1.108474576271e+01,mode_1,mode_2,2.226441728411e-01
1.108474576271e+01,mode_2,mode_1,2.266546570590e-01
1.108474576271e+01,mode_2,mode_2,3.877856321489e-01
1.310169491525e+01,mode_1,mode_1,5.048556727588e-01
1.310169491525e+01,mode_1,mode_2,2.224455554178e-01
1.310169491525e+01,mode_2,mode_1,2.268212392913e-01
1.310169491525e+01,mode_2,mode_2,3.883882520440e-01
1.511864406780e+01,mode_1,mode_1,5.049854485594e-01
1.511864406780e+01,mode_1,mode_2,2.227102089144e-01
1.511864406780e+01,mode_2,mode_1,2.270066957652e-01
1.511864406780e+01,mode_2,mode_2,3.884243874665e-01
1.713559322034e+01,mode_1,mode_1,5.051646527232e-01
1.713559322034e+01,mode_1,mode_2,2.226782270485e-01
1.713559322034e+01,mode_2,mode_1,2.269492097961e-01
1.713559322034e+01,mode_2,mode_2,3.885951168148e-01
1.915254237288e+01,mode_1,mode_1,5.052224834569e-01
1.915254237288e+01,mode_1,mode_2,2.226082928241e-01
1.915254237288e+01,mode_2,mode_1,2.270218319403e-01
1.915254237288e+01,mode_2,mode_2,3.887245695660e-01
2.116949152542e+01,mode_1,mode_1,5.052095928687e-01
2.116949152542e+01,mode_1,mode_2,2.224755752467e-01
2.116949152542e+01,mode_2,mode_1,2.270682376230e-01
2.116949152542e+01,mode_2,mode_2,3.886651024959e-01
2.318644067797e+01,mode_1,mode_1,5.053447333886e-01
2.318644067797e+01,mode_1,mode_2,2.225240206117e-01
2.318644067797e+01,mode_2,mode_1,2.270624376982e-01
2.318644067797e+01,mode_2,mode_2,3.888819246621e-01
2.520338983051e+01,mode_1,mode_1,5.054969398066e-01
2.520338983051e+01,mode_1,mode_2,2.224297623054e-01
2.520338983051e+01,mode_2,mode_1,2.269240862668e-01
2.520338983051e+01,mode_2,mode_2,3.888908100027e-01
2.722033898305e+01,mode_1,mode_1,5.055251869514e-01
2.722033898305e+01,mode_1,mode_2,2.224055577177e-01
2.722033898305e+01,mode_2,mode_1,2.269125658913e-01
2.722033898305e+01,mode_2,mode_2,3.889134221971e-01
2.923728813559e+01,mode_1,mode_1,5.054569494833e-01
2.923728813559e+01,mode_1,mode_2,2.224589176400e-01
2.923728813559e+01,mode_2,mode_1,2.270638285231e-01
2.923728813559e+01,mode_2,mode_2,3.890312773536e-01
3.125423728814e+01,mode_1,mode_1,5.052621484594e-01
3.125423728814e+01,mode_1,mode_2,2.224425612320e-01
3.125423728814e+01,mode_2,mode_1,2.272967300203e-01
3.125423728814e+01,mode_2,mode_2,3.888797510117e-01
3.327118644068e+01,mode_1,mode_1,5.053755022048e-01
3.327118644068e+01,mode_1,mode_2,2.223331306353e-01
3.327118644068e+01,mode_2,mode_1,2.269178182339e-01
3.327118644068e+01,mode_2,mode_2,3.887270684690e-01
3.528813559322e+01,mode_1,mode_1,5.054548620865e-01
3.528813559322e+01,mode_1,mode_2,2.225013627349e-01
3.528813559322e+01,mode_2,mode_1,2.272220216282e-01
3.528813559322e+01,mode_2,mode_2,3.890732032124e-01
3.730508474576e+01,mode_1,mode_1,5.054292836489e-01
3.730508474576e+01,mode_1,mode_2,2.222614307970e-01
3.730508474576e+01,mode_2,mode_1,2.268345498835e-01
3.730508474576e+01,mode_2,mode_2,3.887768631191e-01
3.932203389831e+01,mode_1,mode_1,5.052369624238e-01
3.932203389831e+01,mode_1,mode_2,2.224572920180e-01
3.932203389831e+01,mode_2,mode_1,2.274271964632e-01
3.932203389831e+01,mode_2,mode_2,3.888500213033e-01
4.133898305085e+01,mode_1,mode_1,5.057185371713e-01
4.133898305085e+01,mode_1,mode_2,2.224065749381e-01
4.133898305085e+01,mode_2,mode_1,2.269790560481e-01
4.133898305085e+01,mode_2,mode_2,3.892285175658e-01
4.335593220339e+01,mode_1,mode_1,5.056191813471e-01
4.335593220339e+01,mode_1,mode_2,2.222284055500e-01
4.335593220339e+01,mode_2,mode_1,2.266699576012e-01
4.335593220339e+01,mode_2,mode_2,3.889084438466e-01
4.537288135593e+01,mode_1,mode_1,5.051456307185e-01
4.537288135593e+01,mode_1,mode_2,2.222366386873e-01
4.537288135593e+01,mode_2,mode_1,2.270184118243e-01
4.537288135593e+01,mode_2,mode_2,3.885452127414e-01
4.738983050847e+01,mode_1,mode_1,5.050106256010e-01
4.738983050847e+01,mode_1,mode_2,2.223486412578e-01
4.738983050847e+01,mode_2,mode_1,2.273148909823e-01
4.738983050847e+01,mode_2,mode_2,3.885333619151e-01
4.940677966102e+01,mode_1,mode_1,5.050400713475e-01
4.940677966102e+01,mode_1,mode_2,2.224565917036e-01
4.940677966102e+01,mode_2,mode_1,2.275148739606e-01
4.940677966102e+01,mode_2,mode_2,3.886688707808e-01
5.142372881356e+01,mode_1,mode_1,5.050735791028e-01
5.142372881356e+01,mode_1,mode_2,2.225038439992e-01
5.142372881356e+01,mode_2,mode_1,2.276669293517e-01
5.142372881356e+01,mode_2,mode_2,3.888257455003e-01
5.344067796610e+01,mode_1,mode_1,5.050989862775e-01
5.344067796610e+01,mode_1,mode_2,2.225459264613e-01
5.344067796610e+01,mode_2,mode_1,2.277265000438e-01
5.344067796610e+01,mode_2,mode_2,3.888415511389e-01
5.545762711864e+01,mode_1,mode_1,5.049636849642e-01
5.545762711864e+01,mode_1,mode_2,2.224790556688e-01
5.545762711864e+01,mode_2,mode_1,2.276645641605e-01
5.545762711864e+01,mode_2,mode_2,3.886917164395e-01
5.747457627119e+01,mode_1,mode_1,5.054640080474e-01
5.747457627119e+01,mode_1,mode_2,2.222330207210e-01
5.747457627119e+01,mode_2,mode_1,2.266248752071e-01
5.747457627119e+01,mode_2,mode_2,3.887254122218e-01
5.949152542373e+01,mode_1,mode_1,5.054045504233e-01
5.949152542373e+01,mode_1,mode_2,2.223507544812e-01
5.949152542373e+01,mode_2,mode_1,2.270450387450e-01
5.949152542373e+01,mode_2,mode_2,3.888886534970e-01
6.150847457627e+01,mode_1,mode_1,5.054027252597e-01
6.150847457627e+01,mode_1,mode_2,2.223537384752e-01
6.150847457627e+01,mode_2,mode_1,2.270535885546e-01
6.150847457627e+01,mode_2,mode_2,3.888934798684e-01
6.352542372881e+01,mode_1,mode_1,5.054073968950e-01
6.352542372881e+01,mode_1,mode_2,2.223517188418e-01
6.352542372881e+01,mode_2,mode_1,2.270564404711e-01
6.352542372881e+01,mode_2,mode_2,3.888998417982e-01
6.554237288136e+01,mode_1,mode_1,5.054114570475e-01
6.554237288136e+01,mode_1,mode_2,2.223512848936e-01
6.554237288136e+01,mode_2,mode_1,2.270591118236e-01
6.554237288136e+01,mode_2,mode_2,3.889049800225e-01
6.755932203390e+01,mode_1,mode_1,5.054152591735e-01
6.755932203390e+01,mode_1,mode_2,2.223501381153e-01
6.755932203390e+01,mode_2,mode_1,2.270615053944e-01
6.755932203390e+01,mode_2,mode_2,3.889100107697e-01
6.957627118644e+01,mode_1,mode_1,5.054185276433e-01
6.957627118644e+01,mode_1,mode_2,2.223506484895e-01
6.957627118644e+01,mode_2,mode_1,2.270637812650e-01
6.957627118644e+01,mode_2,mode_2,3.889138927193e-01
7.159322033898e+01,mode_1,mode_1,5.054218192288e-01
7.159322033898e+01,mode_1,mode_2,2.223489007857e-01
7.159322033898e+01,mode_2,mode_1,2.270657432782e-01
7.159322033898e+01,mode_2,mode_2,3.889184712743e-01
7.361016949153e+01,mode_1,mode_1,5.054245967597e-01
7.361016949153e+01,mode_1,mode_2,2.223491488025e-01
7.361016949153e+01,mode_2,mode_1,2.270676502015e-01
7.361016949153e+01,mode_2,mode_2,3.889218250661e-01
7.562711864407e+01,mode_1,mode_1,5.054272306847e-01
7.562711864407e+01,mode_1,mode_2,2.223488101824e-01
7.562711864407e+01,mode_2,mode_1,2.270693748096e-01
7.562711864407e+01,mode_2,mode_2,3.889251752169e-01
7.764406779661e+01,mode_1,mode_1,5.054297819814e-01
7.764406779661e+01,mode_1,mode_2,2.223475986400e-01
7.764406779661e+01,mode_2,mode_1,2.270709163867e-01
7.764406779661e+01,mode_2,mode_2,3.889286816441e-01
7.966101694915e+01,mode_1,mode_1,5.054320119835e-01
7.966101694915e+01,mode_1,mode_2,2.223474524882e-01
7.966101694915e+01,mode_2,mode_1,2.270723970000e-01
7.966101694915e+01,mode_2,mode_2,3.889314764289e-01
8.167796610169e+01,mode_1,mode_1,5.054340634018e-01
8.167796610169e+01,mode_1,mode_2,2.223474328002e-01
8.167796610169e+01,mode_2,mode_1,2.270737757815e-01
8.167796610169e+01,mode_2,mode_2,3.889340134440e-01
8.369491525424e+01,mode_1,mode_1,5.054359467846e-01
8.369491525424e+01,mode_1,mode_2,2.223475759021e-01
8.369491525424e+01,mode_2,mode_1,2.270750651380e-01
8.369491525424e+01,mode_2,mode_2,3.889362949606e-01
8.571186440678e+01,mode_1,mode_1,5.054377532075e-01
8.571186440678e+01,mode_1,mode_2,2.223473014536e-01
8.571186440678e+01,mode_2,mode_1,2.270762417161e-01
8.571186440678e+01,mode_2,mode_2,3.889386050215e-01
8.772881355932e+01,mode_1,mode_1,5.054394573163e-01
8.772881355932e+01,mode_1,mode_2,2.223468897484e-01
8.772881355932e+01,mode_2,mode_1,2.270773293462e-01
8.772881355932e+01,mode_2,mode_2,3.889408294324e-01
8.974576271186e+01,mode_1,mode_1,5.054410850506e-01
8.974576271186e+01,mode_1,mode_2,2.223462277209e-01
8.974576271186e+01,mode_2,mode_1,2.270783289496e-01
8.974576271186e+01,mode_2,mode_2,3.889430335868e-01
9.176271186441e+01,mode_1,mode_1,5.054425462037e-01
9.176271186441e+01,mode_1,mode_2,2.223460632746e-01
9.176271186441e+01,mode_2,mode_1,2.270792888921e-01
9.176271186441e+01,mode_2,mode_2,3.889448849166e-01
9.377966101695e+01,mode_1,mode_1,5.054438936310e-01
9.377966101695e+01,mode_1,mode_2,2.223460608852e-01
9.377966101695e+01,mode_2,mode_1,2.270801959930e-01
9.377966101695e+01,mode_2,mode_2,3.889465481088e-01
9.579661016949e+01,mode_1,mode_1,5.054450835175e-01
9.579661016949e+01,mode_1,mode_2,2.223466087973e-01
9.579661016949e+01,mode_2,mode_1,2.270810772612e-01
9.579661016949e+01,mode_2,mode_2,3.889478540900e-01
9.781355932203e+01,mode_1,mode_1,5.054462576395e-01
9.781355932203e+01,mode_1,mode_2,2.223466955830e-01
9.781355932203e+01,mode_2,mode_1,2.270818806193e-01
9.781355932203e+01,mode_2,mode_2,3.889492770272e-01
9.983050847458e+01,mode_1,mode_1,5.054474075852e-01
9.983050847458e+01,mode_1,mode_2,2.223464326598e-01
9.983050847458e+01,mode_2,mode_1,2.270826165531e-01
9.983050847458e+01,mode_2,mode_2,3.889507734544e-01
1.018474576271e+02,mode_1,mode_1,5.054484441215e-01
1.018474576271e+02,mode_1,mode_2,2.223465258655e-01
1.018474576271e+02,mode_2,mode_1,2.270833282056e-01
1.018474576271e+02,mode_2,mode_2,3.889520247563e-01
1.038644067797e+02,mode_1,mode_1,5.054492549587e-01
1.038644067797e+02,mode_1,mode_2,2.223478732140e-01
1.038644067797e+02,mode_2,mode_1,2.270840700045e-01
1.038644067797e+02,mode_2,mode_2,3.889526255632e-01
1.058813559322e+02,mode_1,mode_1,5.054501812053e-01
1.058813559322e+02,mode_1,mode_2,2.223479120842e-01
1.058813559322e+02,mode_2,mode_1,2.270846998782e-01
1.058813559322e+02,mode_2,mode_2,3.889537573661e-01
1.078983050847e+02,mode_1,mode_1,5.054510654381e-01
1.078983050847e+02,mode_1,mode_2,2.223478865268e-01
1.078983050847e+02,mode_2,mode_1,2.270852915881e-01
1.078983050847e+02,mode_2,mode_2,3.889548558370e-01
1.099152542373e+02,mode_1,mode_1,5.054519578236e-01
1.099152542373e+02,mode_1,mode_2,2.223474328962e-01
1.099152542373e+02,mode_2,mode_1,2.270858266937e-01
1.099152542373e+02,mode_2,mode_2,3.889560914398e-01
1.119322033898e+02,mode_1,mode_1,5.054525761829e-01
1.119322033898e+02,mode_1,mode_2,2.223487163849e-01
1.119322033898e+02,mode_2,mode_1,2.270864297892e-01
1.119322033898e+02,mode_2,mode_2,3.889564739420e-01
1.139491525424e+02,mode_1,mode_1,5.054533649156e-01
1.139491525424e+02,mode_1,mode_2,2.223484047493e-01
1.139491525424e+02,mode_2,mode_1,2.270869152679e-01
1.139491525424e+02,mode_2,mode_2,3.889575390106e-01
1.159661016949e+02,mode_1,mode_1,5.054537907309e-01
1.159661016949e+02,mode_1,mode_2,2.223505410758e-01
1.159661016949e+02,mode_2,mode_1,2.270875126051e-01
1.159661016949e+02,mode_2,mode_2,3.889574310262e-01
1.179830508475e+02,mode_1,mode_1,5.054542249289e-01
1.179830508475e+02,mode_1,mode_2,2.223523304604e-01
1.179830508475e+02,mode_2,mode_1,2.270880657173e-01
1.179830508475e+02,mode_2,mode_2,3.889574369133e-01
1.200000000000e+02,mode_1,mode_1,5.054549470311e-01
1.200000000000e+02,mode_1,mode_2,2.223517057882e-01
1.200000000000e+02,mode_2,mode_1,2.270884607229e-01
1.200000000000e+02,mode_2,mode_2,3.889585124692e-01
